block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file

LR

0	1	1	2	0	C	1	1	1225	1	Ⴞ	cut_oo.wav
0	2	2	4	0	C	2	0	812	0	Ⴉ	cut_ee.wav
0	3	1	1	1	C	1	0	685	0	Ⴞ	cut_eeuw.wav
0	4	2	3	1	C	2	1	504	1	Ⴉ	cut_g.wav
0	5	2	4	0	C	1	1	541	1	Ⴉ	cut_ee.wav
0	6	1	1	1	C	2	1	565	1	Ⴞ	cut_eeuw.wav
0	7	1	2	0	C	1	1	650	1	Ⴞ	cut_oo.wav
0	8	2	3	1	C	2	1	546	1	Ⴉ	cut_g.wav
0	9	1	2	0	C	2	0	437	0	Ⴞ	cut_oo.wav
0	10	1	1	1	C	2	1	592	1	Ⴞ	cut_eeuw.wav
0	11	2	4	0	C	1	1	578	1	Ⴉ	cut_ee.wav
0	12	2	3	1	C	2	1	617	1	Ⴉ	cut_g.wav
0	13	2	3	1	C	1	0	583	0	Ⴉ	cut_g.wav
0	14	2	4	0	C	2	0	372	0	Ⴉ	cut_ee.wav
0	15	1	1	1	C	2	1	441	1	Ⴞ	cut_eeuw.wav
0	16	1	2	0	C	1	1	628	1	Ⴞ	cut_oo.wav
0	17	2	4	0	C	1	1	638	1	Ⴉ	cut_ee.wav
0	18	1	2	0	C	1	1	1088	1	Ⴞ	cut_oo.wav
0	19	1	1	1	C	2	1	583	1	Ⴞ	cut_eeuw.wav
0	20	2	3	1	C	1	0	527	0	Ⴉ	cut_g.wav
0	21	1	2	0	C	1	1	679	1	Ⴞ	cut_oo.wav
0	22	2	4	0	C	1	1	639	1	Ⴉ	cut_ee.wav
0	23	1	1	1	C	2	1	455	1	Ⴞ	cut_eeuw.wav
0	24	2	3	1	C	2	1	725	1	Ⴉ	cut_g.wav
0	25	2	4	0	C	1	1	642	1	Ⴉ	cut_ee.wav
0	26	2	3	1	C	2	1	741	1	Ⴉ	cut_g.wav
0	27	1	1	1	C	2	1	534	1	Ⴞ	cut_eeuw.wav
0	28	1	2	0	C	2	0	819	0	Ⴞ	cut_oo.wav
0	29	1	1	1	C	2	1	927	1	Ⴞ	cut_eeuw.wav
0	30	2	4	0	C	1	1	709	1	Ⴉ	cut_ee.wav
avg_resp = 663
1	1	4	3	2	I	1	0	1186	1	Ⴊ	cut_r.wav
1	2	3	3	2	I	1	0	628	0	Ⴢ	cut_r.wav
1	3	2	1	0	C	1	1	730	1	Ⴞ	cut_s.wav
1	4	1	1	1	C	2	1	754	1	Ⴜ	cut_s.wav
1	5	2	2	1	C	1	0	820	0	Ⴞ	cut_ei.wav
1	6	1	2	0	C	1	1	644	1	Ⴜ	cut_ei.wav
1	7	4	4	2	I	1	0	651	0	Ⴊ	cut_n.wav
1	8	3	4	2	I	1	0	668	0	Ⴢ	cut_n.wav
1	9	4	3	2	I	2	0	668	0	Ⴊ	cut_r.wav
1	10	1	1	1	C	1	0	694	0	Ⴜ	cut_s.wav
1	11	2	2	1	C	2	1	614	1	Ⴞ	cut_ei.wav
1	12	3	4	2	I	1	0	762	1	Ⴢ	cut_n.wav
1	13	1	2	0	C	1	1	1061	1	Ⴜ	cut_ei.wav
1	14	4	4	2	I	1	0	855	1	Ⴊ	cut_n.wav
1	15	2	1	0	C	1	1	822	1	Ⴞ	cut_s.wav
1	16	3	3	2	I	1	0	927	0	Ⴢ	cut_r.wav
