block	trial	Vstim	Astim	match	C/I	resp	result	RT	fb	V-file	A-file

RL

0	1	2	4	0	C	0	0	0	0	Ⴞ	cut_eeuw.wav
0	2	2	3	1	C	2	0	1577	0	Ⴞ	cut_ee.wav
0	3	1	1	1	C	2	0	1438	0	Ⴢ	cut_oo.wav
0	4	1	2	0	C	1	0	1227	0	Ⴢ	cut_g.wav
0	5	1	2	0	C	1	0	1901	0	Ⴢ	cut_g.wav
0	6	2	3	1	C	0	0	0	0	Ⴞ	cut_ee.wav
0	7	1	1	1	C	2	0	1453	0	Ⴢ	cut_oo.wav
0	8	2	4	0	C	2	1	1520	1	Ⴞ	cut_eeuw.wav
0	9	2	3	1	C	0	0	0	0	Ⴞ	cut_ee.wav
0	10	1	1	1	C	0	0	0	0	Ⴢ	cut_oo.wav
0	11	2	4	0	C	0	0	0	0	Ⴞ	cut_eeuw.wav
0	12	1	2	0	C	1	0	1589	0	Ⴢ	cut_g.wav
0	13	2	4	0	C	2	1	1411	1	Ⴞ	cut_eeuw.wav
0	14	1	1	1	C	1	1	1837	1	Ⴢ	cut_oo.wav
0	15	1	2	0	C	0	0	0	0	Ⴢ	cut_g.wav
0	16	2	3	1	C	2	0	1911	0	Ⴞ	cut_ee.wav
0	17	1	1	1	C	2	0	1838	0	Ⴢ	cut_oo.wav
0	18	2	3	1	C	2	0	1074	0	Ⴞ	cut_ee.wav
0	19	1	2	0	C	0	0	0	0	Ⴢ	cut_g.wav
0	20	2	4	0	C	2	1	1048	1	Ⴞ	cut_eeuw.wav
0	21	1	1	1	C	1	1	860	1	Ⴢ	cut_oo.wav
0	22	2	4	0	C	1	0	1977	0	Ⴞ	cut_eeuw.wav
0	23	1	2	0	C	0	0	0	0	Ⴢ	cut_g.wav
0	24	2	3	1	C	2	0	1146	0	Ⴞ	cut_ee.wav
0	25	1	1	1	C	2	0	1729	0	Ⴢ	cut_oo.wav
0	26	2	3	1	C	1	1	1599	1	Ⴞ	cut_ee.wav
0	27	1	2	0	C	2	1	1346	1	Ⴢ	cut_g.wav
0	28	2	4	0	C	1	0	1171	0	Ⴞ	cut_eeuw.wav
0	29	2	3	1	C	0	0	0	0	Ⴞ	cut_ee.wav
0	30	1	1	1	C	2	0	755	0	Ⴢ	cut_oo.wav
avg_resp = 1374
1	1	1	1	1	C	0	0	0	0	Ⴉ	cut_ieuw.wav
1	2	2	1	0	C	1	0	1733	0	Ⴒ	cut_ieuw.wav
1	3	4	3	2	I	0	0	0	0	Ⴌ	cut_nk.wav
1	4	3	3	2	I	2	0	988	0	Ⴐ	cut_nk.wav
1	5	1	2	0	C	1	0	1261	0	Ⴉ	cut_ooi.wav
1	6	2	2	1	C	1	1	1249	1	Ⴒ	cut_ooi.wav
1	7	4	4	2	I	1	0	1546	1	Ⴌ	cut_eeuw.wav
1	8	3	4	2	I	2	0	1300	0	Ⴐ	cut_eeuw.wav
1	9	4	4	2	I	2	0	1541	1	Ⴌ	cut_eeuw.wav
1	10	2	1	0	C	1	0	1025	0	Ⴒ	cut_ieuw.wav
1	11	3	3	2	I	2	0	1876	1	Ⴐ	cut_nk.wav
1	12	1	1	1	C	1	1	1156	1	Ⴉ	cut_ieuw.wav
1	13	4	3	2	I	2	0	1546	1	Ⴌ	cut_nk.wav
1	14	3	4	2	I	0	0	0	0	Ⴐ	cut_eeuw.wav
1	15	2	2	1	C	1	1	1561	1	Ⴒ	cut_ooi.wav
1	16	1	2	0	C	2	1	1227	1	Ⴉ	cut_ooi.wav
1	17	4	4	2	I	2	0	1840	0	Ⴌ	cut_eeuw.wav
1	18	1	2	0	C	2	1	1405	1	Ⴉ	cut_ooi.wav
1	19	2	2	1	C	1	1	1454	1	Ⴒ	cut_ooi.wav
1	20	3	3	2	I	2	0	1591	1	Ⴐ	cut_nk.wav
1	21	2	1	0	C	1	0	1480	0	Ⴒ	cut_ieuw.wav
1	22	1	1	1	C	1	1	1200	1	Ⴉ	cut_ieuw.wav
1	23	4	3	2	I	2	0	1264	0	Ⴌ	cut_nk.wav
1	24	3	4	2	I	2	0	1584	0	Ⴐ	cut_eeuw.wav
1	25	2	2	1	C	2	0	1545	0	Ⴒ	cut_ooi.wav
1	26	1	2	0	C	2	1	1013	1	Ⴉ	cut_ooi.wav
1	27	3	3	2	I	2	0	1410	0	Ⴐ	cut_nk.wav
1	28	4	4	2	I	1	0	1143	1	Ⴌ	cut_eeuw.wav
1	29	3	4	2	I	1	0	1028	0	Ⴐ	cut_eeuw.wav
1	30	2	1	0	C	1	0	1148	0	Ⴒ	cut_ieuw.wav
1	31	1	1	1	C	1	1	1073	1	Ⴉ	cut_ieuw.wav
1	32	4	3	2	I	1	0	1842	0	Ⴌ	cut_nk.wav
1	33	1	1	1	C	1	1	968	1	Ⴉ	cut_ieuw.wav
1	34	4	4	2	I	2	0	1651	0	Ⴌ	cut_eeuw.wav
1	35	3	4	2	I	1	0	1076	1	Ⴐ	cut_eeuw.wav
1	36	2	2	1	C	1	1	1117	1	Ⴒ	cut_ooi.wav
1	37	1	2	0	C	2	1	1057	1	Ⴉ	cut_ooi.wav
1	38	3	3	2	I	2	0	1347	1	Ⴐ	cut_nk.wav
1	39	4	3	2	I	2	0	989	0	Ⴌ	cut_nk.wav
1	40	2	1	0	C	2	1	1215	1	Ⴒ	cut_ieuw.wav
1	41	4	3	2	I	1	0	1307	1	Ⴌ	cut_nk.wav
1	42	3	4	2	I	1	0	927	0	Ⴐ	cut_eeuw.wav
1	43	2	2	1	C	2	0	1633	0	Ⴒ	cut_ooi.wav
1	44	1	2	0	C	2	1	979	1	Ⴉ	cut_ooi.wav
1	45	4	4	2	I	2	0	1529	0	Ⴌ	cut_eeuw.wav
1	46	2	1	0	C	1	0	1810	0	Ⴒ	cut_ieuw.wav
1	47	1	1	1	C	1	1	850	1	Ⴉ	cut_ieuw.wav
1	48	3	3	2	I	2	0	1369	1	Ⴐ	cut_nk.wav
1	49	4	4	2	I	1	0	958	1	Ⴌ	cut_eeuw.wav
1	50	3	3	2	I	2	0	1273	0	Ⴐ	cut_nk.wav
1	51	1	2	0	C	1	0	1470	0	Ⴉ	cut_ooi.wav
1	52	2	1	0	C	2	1	1050	1	Ⴒ	cut_ieuw.wav
1	53	4	3	2	I	2	0	1256	1	Ⴌ	cut_nk.wav
1	54	1	1	1	C	1	1	738	1	Ⴉ	cut_ieuw.wav
1	55	2	2	1	C	1	1	1337	1	Ⴒ	cut_ooi.wav
1	56	3	4	2	I	1	0	1357	0	Ⴐ	cut_eeuw.wav
1	57	1	2	0	C	2	1	884	1	Ⴉ	cut_ooi.wav
1	58	4	4	2	I	2	0	1413	1	Ⴌ	cut_eeuw.wav
1	59	3	4	2	I	2	0	1435	0	Ⴐ	cut_eeuw.wav
1	60	2	1	0	C	2	1	839	1	Ⴒ	cut_ieuw.wav
1	61	1	1	1	C	1	1	668	1	Ⴉ	cut_ieuw.wav
1	62	4	3	2	I	1	0	1128	1	Ⴌ	cut_nk.wav
1	63	3	3	2	I	2	0	926	1	Ⴐ	cut_nk.wav
1	64	2	2	1	C	1	1	1234	1	Ⴒ	cut_ooi.wav
1	65	4	4	2	I	1	0	1290	1	Ⴌ	cut_eeuw.wav
1	66	1	1	1	C	1	1	817	1	Ⴉ	cut_ieuw.wav
1	67	3	4	2	I	1	0	1148	1	Ⴐ	cut_eeuw.wav
1	68	2	2	1	C	1	1	898	1	Ⴒ	cut_ooi.wav
1	69	4	3	2	I	1	0	907	0	Ⴌ	cut_nk.wav
1	70	2	1	0	C	2	1	1048	1	Ⴒ	cut_ieuw.wav
1	71	1	2	0	C	2	1	1074	1	Ⴉ	cut_ooi.wav
1	72	3	3	2	I	2	0	1024	1	Ⴐ	cut_nk.wav
1	73	2	2	1	C	1	1	997	1	Ⴒ	cut_ooi.wav
1	74	3	4	2	I	1	0	1249	1	Ⴐ	cut_eeuw.wav
1	75	4	4	2	I	1	0	1275	1	Ⴌ	cut_eeuw.wav
1	76	1	2	0	C	2	1	885	1	Ⴉ	cut_ooi.wav
1	77	3	3	2	I	2	0	940	0	Ⴐ	cut_nk.wav
1	78	1	1	1	C	1	1	714	1	Ⴉ	cut_ieuw.wav
1	79	2	1	0	C	2	1	993	1	Ⴒ	cut_ieuw.wav
1	80	4	3	2	I	1	0	1366	1	Ⴌ	cut_nk.wav
1	81	1	1	1	C	1	1	705	1	Ⴉ	cut_ieuw.wav
1	82	3	4	2	I	2	0	951	0	Ⴐ	cut_eeuw.wav
1	83	4	3	2	I	1	0	981	1	Ⴌ	cut_nk.wav
1	84	2	2	1	C	1	1	863	1	Ⴒ	cut_ooi.wav
1	85	1	2	0	C	2	1	795	1	Ⴉ	cut_ooi.wav
1	86	2	1	0	C	2	1	970	1	Ⴒ	cut_ieuw.wav
1	87	3	3	2	I	2	0	785	1	Ⴐ	cut_nk.wav
1	88	4	4	2	I	1	0	1038	1	Ⴌ	cut_eeuw.wav
1	89	3	3	2	I	2	0	915	0	Ⴐ	cut_nk.wav
1	90	2	2	1	C	1	1	853	1	Ⴒ	cut_ooi.wav
1	91	4	4	2	I	1	0	894	0	Ⴌ	cut_eeuw.wav
1	92	1	2	0	C	2	1	750	1	Ⴉ	cut_ooi.wav
1	93	2	1	0	C	2	1	1365	1	Ⴒ	cut_ieuw.wav
1	94	4	3	2	I	2	0	1272	0	Ⴌ	cut_nk.wav
1	95	3	4	2	I	2	0	1004	0	Ⴐ	cut_eeuw.wav
1	96	1	1	1	C	1	1	736	1	Ⴉ	cut_ieuw.wav
1	97	4	3	2	I	1	0	868	0	Ⴌ	cut_nk.wav
1	98	1	2	0	C	2	1	974	1	Ⴉ	cut_ooi.wav
1	99	3	4	2	I	2	0	1647	0	Ⴐ	cut_eeuw.wav
1	100	2	1	0	C	1	0	1030	0	Ⴒ	cut_ieuw.wav
1	101	4	4	2	I	1	0	877	0	Ⴌ	cut_eeuw.wav
1	102	1	1	1	C	1	1	785	1	Ⴉ	cut_ieuw.wav
1	103	3	3	2	I	2	0	797	0	Ⴐ	cut_nk.wav
1	104	2	2	1	C	1	1	1340	1	Ⴒ	cut_ooi.wav
1	105	4	3	2	I	1	0	939	0	Ⴌ	cut_nk.wav
1	106	3	4	2	I	1	0	1098	0	Ⴐ	cut_eeuw.wav
1	107	1	1	1	C	1	1	713	1	Ⴉ	cut_ieuw.wav
1	108	2	1	0	C	2	1	1269	1	Ⴒ	cut_ieuw.wav
1	109	3	3	2	I	2	0	780	1	Ⴐ	cut_nk.wav
1	110	2	2	1	C	2	0	1365	0	Ⴒ	cut_ooi.wav
1	111	1	2	0	C	2	1	829	1	Ⴉ	cut_ooi.wav
1	112	4	4	2	I	1	0	964	1	Ⴌ	cut_eeuw.wav
1	113	3	4	2	I	2	0	903	1	Ⴐ	cut_eeuw.wav
1	114	4	3	2	I	1	0	1718	0	Ⴌ	cut_nk.wav
1	115	2	2	1	C	1	1	1058	1	Ⴒ	cut_ooi.wav
1	116	1	2	0	C	2	1	730	1	Ⴉ	cut_ooi.wav
1	117	3	3	2	I	2	0	919	0	Ⴐ	cut_nk.wav
1	118	2	1	0	C	1	0	1250	0	Ⴒ	cut_ieuw.wav
1	119	1	1	1	C	1	1	694	1	Ⴉ	cut_ieuw.wav
1	120	4	4	2	I	1	0	1623	0	Ⴌ	cut_eeuw.wav
1	121	2	2	1	C	1	1	1451	1	Ⴒ	cut_ooi.wav
1	122	3	4	2	I	2	0	1694	0	Ⴐ	cut_eeuw.wav
1	123	1	1	1	C	1	1	876	1	Ⴉ	cut_ieuw.wav
1	124	4	3	2	I	1	0	1787	1	Ⴌ	cut_nk.wav
1	125	1	2	0	C	2	1	1969	1	Ⴉ	cut_ooi.wav
1	126	2	1	0	C	1	0	1010	0	Ⴒ	cut_ieuw.wav
1	127	4	4	2	I	0	0	0	0	Ⴌ	cut_eeuw.wav
1	128	3	3	2	I	1	0	1517	1	Ⴐ	cut_nk.wav
1	129	1	2	0	C	2	1	1408	1	Ⴉ	cut_ooi.wav
1	130	4	4	2	I	1	0	1337	0	Ⴌ	cut_eeuw.wav
1	131	3	3	2	I	1	0	1316	1	Ⴐ	cut_nk.wav
1	132	2	2	1	C	1	1	1085	1	Ⴒ	cut_ooi.wav
1	133	1	1	1	C	1	1	710	1	Ⴉ	cut_ieuw.wav
1	134	3	4	2	I	1	0	1488	1	Ⴐ	cut_eeuw.wav
1	135	2	1	0	C	1	0	1104	0	Ⴒ	cut_ieuw.wav
1	136	4	3	2	I	1	0	858	0	Ⴌ	cut_nk.wav
1	137	2	1	0	C	0	0	0	0	Ⴒ	cut_ieuw.wav
1	138	1	1	1	C	1	1	705	1	Ⴉ	cut_ieuw.wav
1	139	4	3	2	I	2	0	1427	1	Ⴌ	cut_nk.wav
1	140	3	3	2	I	1	0	1216	1	Ⴐ	cut_nk.wav
1	141	1	2	0	C	2	1	1586	1	Ⴉ	cut_ooi.wav
1	142	4	4	2	I	1	0	1719	0	Ⴌ	cut_eeuw.wav
1	143	3	4	2	I	2	0	1507	0	Ⴐ	cut_eeuw.wav
1	144	2	2	1	C	1	1	1831	1	Ⴒ	cut_ooi.wav
1	145	4	3	2	I	2	0	1498	0	Ⴌ	cut_nk.wav
1	146	3	4	2	I	1	0	1413	1	Ⴐ	cut_eeuw.wav
1	147	2	1	0	C	1	0	1900	0	Ⴒ	cut_ieuw.wav
1	148	1	1	1	C	1	1	835	1	Ⴉ	cut_ieuw.wav
1	149	3	3	2	I	1	0	1192	1	Ⴐ	cut_nk.wav
1	150	2	2	1	C	1	1	1567	1	Ⴒ	cut_ooi.wav
1	151	1	2	0	C	2	1	1716	1	Ⴉ	cut_ooi.wav
1	152	4	4	2	I	2	0	1622	1	Ⴌ	cut_eeuw.wav
1	153	1	2	0	C	2	1	969	1	Ⴉ	cut_ooi.wav
1	154	2	2	1	C	2	0	1940	0	Ⴒ	cut_ooi.wav
1	155	4	3	2	I	1	0	1386	0	Ⴌ	cut_nk.wav
1	156	3	3	2	I	1	0	1067	1	Ⴐ	cut_nk.wav
1	157	1	1	1	C	1	1	501	1	Ⴉ	cut_ieuw.wav
1	158	4	4	2	I	1	0	1966	1	Ⴌ	cut_eeuw.wav
1	159	2	1	0	C	2	1	1708	1	Ⴒ	cut_ieuw.wav
1	160	3	4	2	I	2	0	1563	1	Ⴐ	cut_eeuw.wav
1	161	2	2	1	C	1	1	1572	1	Ⴒ	cut_ooi.wav
1	162	3	4	2	I	2	0	1709	1	Ⴐ	cut_eeuw.wav
1	163	4	4	2	I	2	0	1303	1	Ⴌ	cut_eeuw.wav
1	164	1	2	0	C	2	1	1539	1	Ⴉ	cut_ooi.wav
1	165	4	3	2	I	1	0	1824	0	Ⴌ	cut_nk.wav
1	166	1	1	1	C	1	1	911	1	Ⴉ	cut_ieuw.wav
1	167	2	1	0	C	0	0	0	0	Ⴒ	cut_ieuw.wav
1	168	3	3	2	I	1	0	889	1	Ⴐ	cut_nk.wav
1	169	1	2	0	C	2	1	1109	1	Ⴉ	cut_ooi.wav
1	170	3	3	2	I	1	0	846	0	Ⴐ	cut_nk.wav
1	171	4	4	2	I	2	0	1959	0	Ⴌ	cut_eeuw.wav
1	172	2	1	0	C	1	0	1766	0	Ⴒ	cut_ieuw.wav
1	173	3	4	2	I	2	0	1468	1	Ⴐ	cut_eeuw.wav
1	174	1	1	1	C	1	1	785	1	Ⴉ	cut_ieuw.wav
1	175	2	2	1	C	1	1	1826	1	Ⴒ	cut_ooi.wav
1	176	4	3	2	I	2	0	1343	0	Ⴌ	cut_nk.wav
1	177	3	3	2	I	1	0	1611	0	Ⴐ	cut_nk.wav
1	178	1	2	0	C	2	1	1615	1	Ⴉ	cut_ooi.wav
1	179	4	3	2	I	1	0	977	1	Ⴌ	cut_nk.wav
1	180	2	2	1	C	1	1	1830	1	Ⴒ	cut_ooi.wav
1	181	3	4	2	I	1	0	1900	1	Ⴐ	cut_eeuw.wav
1	182	4	4	2	I	2	0	1423	0	Ⴌ	cut_eeuw.wav
1	183	2	1	0	C	1	0	1420	0	Ⴒ	cut_ieuw.wav
1	184	1	1	1	C	2	0	1053	0	Ⴉ	cut_ieuw.wav
1	185	3	4	2	I	2	0	1970	0	Ⴐ	cut_eeuw.wav
1	186	1	1	1	C	2	0	1069	0	Ⴉ	cut_ieuw.wav
1	187	2	1	0	C	2	1	1249	1	Ⴒ	cut_ieuw.wav
1	188	4	4	2	I	2	0	1388	1	Ⴌ	cut_eeuw.wav
1	189	1	2	0	C	2	1	1461	1	Ⴉ	cut_ooi.wav
1	190	3	3	2	I	1	0	1457	0	Ⴐ	cut_nk.wav
1	191	4	3	2	I	1	0	1648	0	Ⴌ	cut_nk.wav
1	192	2	2	1	C	1	1	975	1	Ⴒ	cut_ooi.wav
1	193	3	4	2	I	2	0	1305	1	Ⴐ	cut_eeuw.wav
1	194	4	3	2	I	1	0	1005	1	Ⴌ	cut_nk.wav
1	195	2	1	0	C	2	1	1301	1	Ⴒ	cut_ieuw.wav
1	196	1	2	0	C	2	1	1361	1	Ⴉ	cut_ooi.wav
1	197	2	2	1	C	1	1	1310	1	Ⴒ	cut_ooi.wav
1	198	1	1	1	C	1	1	1837	1	Ⴉ	cut_ieuw.wav
1	199	4	4	2	I	2	0	1703	1	Ⴌ	cut_eeuw.wav
1	200	3	3	2	I	1	0	1421	0	Ⴐ	cut_nk.wav
2	1	3	4	2	I	0	0	0	0	Ⴁ	cut_oei.wav
2	2	1	2	0	C	0	0	0	0	Ⴃ	cut_f.wav
2	3	2	1	0	C	1	0	1334	0	Ⴥ	cut_j.wav
2	4	4	3	2	I	2	0	1432	0	Ⴂ	cut_ei.wav
2	5	3	3	2	I	1	0	1562	0	Ⴁ	cut_ei.wav
2	6	1	1	1	C	2	0	1904	0	Ⴃ	cut_j.wav
2	7	2	2	1	C	1	1	1351	1	Ⴥ	cut_f.wav
2	8	4	4	2	I	1	0	1202	1	Ⴂ	cut_oei.wav
2	9	3	3	2	I	1	0	1049	0	Ⴁ	cut_ei.wav
2	10	1	1	1	C	2	0	1134	0	Ⴃ	cut_j.wav
2	11	2	2	1	C	1	1	706	1	Ⴥ	cut_f.wav
2	12	4	4	2	I	2	0	1185	0	Ⴂ	cut_oei.wav
2	13	3	4	2	I	1	0	1255	1	Ⴁ	cut_oei.wav
2	14	1	2	0	C	1	0	1241	0	Ⴃ	cut_f.wav
2	15	4	3	2	I	2	0	1675	1	Ⴂ	cut_ei.wav
2	16	2	1	0	C	2	1	1229	1	Ⴥ	cut_j.wav
2	17	1	1	1	C	2	0	1028	0	Ⴃ	cut_j.wav
2	18	3	4	2	I	1	0	1242	0	Ⴁ	cut_oei.wav
2	19	4	3	2	I	2	0	1519	1	Ⴂ	cut_ei.wav
2	20	2	2	1	C	1	1	704	1	Ⴥ	cut_f.wav
2	21	4	4	2	I	1	0	1253	1	Ⴂ	cut_oei.wav
2	22	1	2	0	C	2	1	1244	1	Ⴃ	cut_f.wav
2	23	3	3	2	I	1	0	791	1	Ⴁ	cut_ei.wav
2	24	2	1	0	C	2	1	1273	1	Ⴥ	cut_j.wav
2	25	4	4	2	I	1	0	1731	1	Ⴂ	cut_oei.wav
2	26	1	2	0	C	2	1	856	1	Ⴃ	cut_f.wav
2	27	2	1	0	C	2	1	1530	1	Ⴥ	cut_j.wav
2	28	3	4	2	I	1	0	1097	1	Ⴁ	cut_oei.wav
2	29	1	1	1	C	2	0	1282	0	Ⴃ	cut_j.wav
2	30	2	2	1	C	1	1	1184	1	Ⴥ	cut_f.wav
2	31	4	3	2	I	2	0	1398	1	Ⴂ	cut_ei.wav
2	32	3	3	2	I	1	0	885	0	Ⴁ	cut_ei.wav
2	33	2	1	0	C	2	1	1230	1	Ⴥ	cut_j.wav
2	34	1	2	0	C	2	1	817	1	Ⴃ	cut_f.wav
2	35	3	3	2	I	1	0	630	0	Ⴁ	cut_ei.wav
2	36	4	4	2	I	1	0	1472	0	Ⴂ	cut_oei.wav
2	37	3	4	2	I	2	0	1125	1	Ⴁ	cut_oei.wav
2	38	1	1	1	C	1	1	1229	1	Ⴃ	cut_j.wav
2	39	4	3	2	I	2	0	1411	1	Ⴂ	cut_ei.wav
2	40	2	2	1	C	2	0	981	0	Ⴥ	cut_f.wav
2	41	3	3	2	I	2	0	1190	0	Ⴁ	cut_ei.wav
2	42	4	3	2	I	2	0	955	0	Ⴂ	cut_ei.wav
2	43	1	1	1	C	2	0	782	0	Ⴃ	cut_j.wav
2	44	2	1	0	C	2	1	1098	1	Ⴥ	cut_j.wav
2	45	4	4	2	I	1	0	1405	0	Ⴂ	cut_oei.wav
2	46	2	2	1	C	1	1	868	1	Ⴥ	cut_f.wav
2	47	1	2	0	C	2	1	1003	1	Ⴃ	cut_f.wav
2	48	3	4	2	I	1	0	1226	0	Ⴁ	cut_oei.wav
2	49	4	3	2	I	2	0	1567	0	Ⴂ	cut_ei.wav
2	50	2	2	1	C	1	1	838	1	Ⴥ	cut_f.wav
2	51	3	4	2	I	1	0	1101	1	Ⴁ	cut_oei.wav
2	52	1	2	0	C	2	1	1292	1	Ⴃ	cut_f.wav
2	53	3	3	2	I	1	0	1293	0	Ⴁ	cut_ei.wav
2	54	2	1	0	C	2	1	907	1	Ⴥ	cut_j.wav
2	55	1	1	1	C	2	0	1170	0	Ⴃ	cut_j.wav
2	56	4	4	2	I	1	0	885	1	Ⴂ	cut_oei.wav
2	57	2	2	1	C	1	1	1168	1	Ⴥ	cut_f.wav
2	58	4	3	2	I	2	0	1032	1	Ⴂ	cut_ei.wav
2	59	3	4	2	I	1	0	1047	1	Ⴁ	cut_oei.wav
2	60	1	1	1	C	2	0	1038	0	Ⴃ	cut_j.wav
2	61	3	3	2	I	1	0	1488	0	Ⴁ	cut_ei.wav
2	62	1	2	0	C	2	1	770	1	Ⴃ	cut_f.wav
2	63	4	4	2	I	1	0	1748	1	Ⴂ	cut_oei.wav
2	64	2	1	0	C	2	1	1573	1	Ⴥ	cut_j.wav
2	65	4	4	2	I	0	0	0	0	Ⴂ	cut_oei.wav
2	66	1	2	0	C	2	1	575	1	Ⴃ	cut_f.wav
2	67	2	1	0	C	2	1	1051	1	Ⴥ	cut_j.wav
2	68	3	4	2	I	1	0	747	0	Ⴁ	cut_oei.wav
2	69	4	3	2	I	2	0	963	0	Ⴂ	cut_ei.wav
2	70	1	1	1	C	2	0	756	0	Ⴃ	cut_j.wav
2	71	3	3	2	I	2	0	1447	1	Ⴁ	cut_ei.wav
2	72	2	2	1	C	1	1	1064	1	Ⴥ	cut_f.wav
2	73	1	1	1	C	2	0	940	0	Ⴃ	cut_j.wav
2	74	4	4	2	I	2	0	1114	1	Ⴂ	cut_oei.wav
2	75	3	4	2	I	2	0	1200	0	Ⴁ	cut_oei.wav
2	76	2	2	1	C	1	1	1542	1	Ⴥ	cut_f.wav
2	77	3	3	2	I	2	0	1516	1	Ⴁ	cut_ei.wav
2	78	1	2	0	C	2	1	997	1	Ⴃ	cut_f.wav
2	79	4	3	2	I	2	0	1002	0	Ⴂ	cut_ei.wav
2	80	2	1	0	C	2	1	1046	1	Ⴥ	cut_j.wav
2	81	3	3	2	I	2	0	1683	1	Ⴁ	cut_ei.wav
2	82	1	2	0	C	2	1	980	1	Ⴃ	cut_f.wav
2	83	4	3	2	I	2	0	890	0	Ⴂ	cut_ei.wav
2	84	2	2	1	C	1	1	1055	1	Ⴥ	cut_f.wav
2	85	3	4	2	I	1	0	1209	0	Ⴁ	cut_oei.wav
2	86	2	1	0	C	1	0	1556	0	Ⴥ	cut_j.wav
2	87	1	1	1	C	2	0	894	0	Ⴃ	cut_j.wav
2	88	4	4	2	I	1	0	1014	0	Ⴂ	cut_oei.wav
2	89	3	3	2	I	2	0	1059	1	Ⴁ	cut_ei.wav
2	90	1	2	0	C	2	1	591	1	Ⴃ	cut_f.wav
2	91	4	3	2	I	2	0	1147	0	Ⴂ	cut_ei.wav
2	92	2	2	1	C	1	1	1165	1	Ⴥ	cut_f.wav
2	93	1	1	1	C	2	0	1031	0	Ⴃ	cut_j.wav
2	94	3	4	2	I	2	0	1712	0	Ⴁ	cut_oei.wav
2	95	4	4	2	I	2	0	975	0	Ⴂ	cut_oei.wav
2	96	2	1	0	C	1	0	970	0	Ⴥ	cut_j.wav
2	97	3	3	2	I	2	0	890	0	Ⴁ	cut_ei.wav
2	98	4	3	2	I	1	0	744	0	Ⴂ	cut_ei.wav
2	99	1	1	1	C	2	0	1235	0	Ⴃ	cut_j.wav
2	100	2	2	1	C	1	1	1398	1	Ⴥ	cut_f.wav
2	101	1	2	0	C	2	1	1109	1	Ⴃ	cut_f.wav
2	102	4	4	2	I	1	0	1294	0	Ⴂ	cut_oei.wav
2	103	3	4	2	I	2	0	981	1	Ⴁ	cut_oei.wav
2	104	2	1	0	C	2	1	1381	1	Ⴥ	cut_j.wav
2	105	3	3	2	I	2	0	1373	1	Ⴁ	cut_ei.wav
2	106	4	3	2	I	1	0	1129	0	Ⴂ	cut_ei.wav
2	107	1	1	1	C	1	1	962	1	Ⴃ	cut_j.wav
2	108	2	1	0	C	1	0	1273	0	Ⴥ	cut_j.wav
2	109	1	2	0	C	1	0	1230	0	Ⴃ	cut_f.wav
2	110	3	4	2	I	2	0	991	0	Ⴁ	cut_oei.wav
2	111	2	2	1	C	1	1	1145	1	Ⴥ	cut_f.wav
2	112	4	4	2	I	2	0	1330	0	Ⴂ	cut_oei.wav
2	113	1	1	1	C	1	1	962	1	Ⴃ	cut_j.wav
2	114	4	3	2	I	1	0	1108	1	Ⴂ	cut_ei.wav
2	115	3	4	2	I	2	0	774	0	Ⴁ	cut_oei.wav
2	116	2	1	0	C	0	0	0	0	Ⴥ	cut_j.wav
2	117	4	4	2	I	1	0	1056	1	Ⴂ	cut_oei.wav
2	118	3	3	2	I	1	0	1681	1	Ⴁ	cut_ei.wav
2	119	1	2	0	C	1	0	1421	0	Ⴃ	cut_f.wav
2	120	2	2	1	C	1	1	955	1	Ⴥ	cut_f.wav
2	121	4	4	2	I	1	0	907	0	Ⴂ	cut_oei.wav
2	122	1	1	1	C	1	1	1317	1	Ⴃ	cut_j.wav
2	123	3	3	2	I	1	0	1404	1	Ⴁ	cut_ei.wav
2	124	2	1	0	C	1	0	1247	0	Ⴥ	cut_j.wav
2	125	4	3	2	I	1	0	1082	0	Ⴂ	cut_ei.wav
2	126	1	2	0	C	2	1	1036	1	Ⴃ	cut_f.wav
2	127	2	2	1	C	2	0	1368	0	Ⴥ	cut_f.wav
2	128	3	4	2	I	2	0	959	0	Ⴁ	cut_oei.wav
2	129	1	1	1	C	1	1	1167	1	Ⴃ	cut_j.wav
2	130	4	4	2	I	2	0	985	0	Ⴂ	cut_oei.wav
2	131	2	2	1	C	1	1	960	1	Ⴥ	cut_f.wav
2	132	3	3	2	I	1	0	1072	1	Ⴁ	cut_ei.wav
2	133	2	1	0	C	1	0	831	0	Ⴥ	cut_j.wav
2	134	4	3	2	I	1	0	1041	1	Ⴂ	cut_ei.wav
2	135	1	2	0	C	2	1	1135	1	Ⴃ	cut_f.wav
2	136	3	4	2	I	1	0	985	1	Ⴁ	cut_oei.wav
2	137	2	1	0	C	2	1	1369	1	Ⴥ	cut_j.wav
2	138	1	1	1	C	1	1	1022	1	Ⴃ	cut_j.wav
2	139	4	3	2	I	1	0	788	0	Ⴂ	cut_ei.wav
2	140	3	3	2	I	1	0	1293	0	Ⴁ	cut_ei.wav
2	141	4	4	2	I	2	0	1117	0	Ⴂ	cut_oei.wav
