block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	3_1	1	0	0	2	1927	2619	VN	a_short_2_2.wav	10707	0	15361
1	2	6_2	6	0	0	2	2639	2131	5R	in_short_2_1.wav	20052	0	24230
1	3	5_1	5	1	1267	0	2671	2924	4N	t_2_1.wav	28991	30258	33963
1	4	3_5	3	0	0	2	3114	1718	V4	b_2_1.wav	39124	0	42882
1	5	1_2	1	0	0	2	2334	1656	NR	a_short_2_2.wav	47268	0	50993
1	6	2_1	2	1	1062	0	3740	1628	RN	e_short_2_2.wav	56797	57859	60472
1	7	6_3	3	1	1554	0	2219	1796	5V	b_2_1.wav	64750	66304	68596
1	8	5_2	5	2	746	1	3315	1795	4R	t_2_1.wav	73969	74715	77819
1	9	4_1	1	2	1511	1	2035	2220	3N	a_short_2_2.wav	81913	83424	86184
1	10	4_3	4	1	1410	0	2632	2422	3V	l_2_1.wav	90866	92276	95343
1	11	6_3	3	2	1114	1	2881	1453	5V	b_2_1.wav	100272	101386	103764
1	12	3_6	6	2	756	1	2670	2898	V5	in_short_2_1.wav	108484	109240	113432
1	13	4_5	5	2	634	1	3200	899	34	t_2_1.wav	118739	119373	121691
1	14	6_4	4	2	416	1	1738	1066	53	l_2_1.wav	125483	125899	128764
1	15	4_6	6	2	402	1	2448	2189	35	in_short_2_1.wav	133265	133667	137509
