trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFtrained	e	190	
2	1	2	FFtrained	c	321	
3	1	3	FFtrained	a	283	
4	1	4	FFtrained	f	215	
5	1	5	FFtrained	d	127	
6	1	6	FFtrained	g	164	
7	1	7	FFtrained	c	118	
8	1	8	FFtrained	h	423	
9	1	9	FFtrained	h	472	
10	1	10	FFtrained	b	255	
11	1	12	FFtrained	e	199	
12	1	13	FFtrained	b	202	
13	1	15	FFtrained	g	333	
14	1	16	FFtrained	a	207	
15	1	17	FFtrained	f	257	
16	1	18	FFtrained	d	163	
17	1	1	letter	b	333	
18	1	2	letter	g	199	
19	1	3	letter	p	202	
20	1	4	letter	z	207	
21	1	5	letter	m	118	
22	1	6	letter	e	151	
23	1	7	letter	letterTarget	163	
24	1	8	letter	p	255	
25	1	9	letter	m	321	
26	1	10	letter	e	257	
27	1	11	letter	letterTarget	215	
28	1	12	letter	z	472	
29	1	13	letter	t	423	
30	1	14	letter	u	164	
31	1	15	letter	t	190	
32	1	16	letter	u	283	
33	1	17	letter	s	127	
34	1	18	letter	b	408	
35	1	1	FFnew	e	202	
36	1	2	FFnew	f	118	
37	1	3	FFnew	a	321	
38	1	4	FFnew	c	151	
39	1	5	FFnew	e	408	
40	1	7	FFnew	d	423	
41	1	8	FFnew	b	215	
42	1	9	FFnew	g	255	
43	1	10	FFnew	g	257	
44	1	11	FFnew	d	333	
45	1	12	FFnew	f	283	
46	1	13	FFnew	h	163	
47	1	14	FFnew	b	472	
48	1	16	FFnew	c	127	
49	1	17	FFnew	a	190	
50	1	18	FFnew	h	199	
51	1	1	FFfamiliar	c	151	
52	1	2	FFfamiliar	FFfamiliarTarget	164	
53	1	3	FFfamiliar	d	257	
54	1	4	FFfamiliar	f	472	
55	1	5	FFfamiliar	b	283	
56	1	6	FFfamiliar	g	255	
57	1	7	FFfamiliar	e	207	
58	1	8	FFfamiliar	e	127	
59	1	9	FFfamiliar	b	408	
60	1	10	FFfamiliar	h	321	
61	1	11	FFfamiliar	g	333	
62	1	12	FFfamiliar	a	163	
63	1	13	FFfamiliar	h	215	
64	1	14	FFfamiliar	FFfamiliarTarget	118	
65	1	15	FFfamiliar	c	199	
66	1	16	FFfamiliar	d	423	
67	1	17	FFfamiliar	f	190	
68	1	18	FFfamiliar	a	202	
69	2	1	FFnew	a	190	
70	2	2	FFnew	g	423	
71	2	3	FFnew	f	151	
72	2	4	FFnew	g	255	
73	2	5	FFnew	c	408	
74	2	6	FFnew	b	199	
75	2	7	FFnew	d	283	
76	2	8	FFnew	d	163	
77	2	9	FFnew	a	215	
78	2	10	FFnew	h	257	
79	2	11	FFnew	e	118	
80	2	12	FFnew	h	164	
81	2	13	FFnew	f	127	
82	2	14	FFnew	c	321	
83	2	15	FFnew	b	207	
84	2	16	FFnew	e	333	
85	2	17	FFnew	FFnewTarget	472	
86	2	1	letter	e	207	
87	2	2	letter	b	151	
88	2	3	letter	t	283	
89	2	4	letter	t	164	
