trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFnew	e	257	
2	1	2	FFnew	b	472	
3	1	3	FFnew	g	283	
4	1	4	FFnew	a	333	
5	1	5	FFnew	c	127	
6	1	6	FFnew	c	163	
7	1	7	FFnew	f	215	
8	1	8	FFnew	f	408	
9	1	9	FFnew	h	255	
10	1	10	FFnew	e	199	
11	1	12	FFnew	d	164	
12	1	13	FFnew	b	118	
13	1	14	FFnew	d	151	
14	1	15	FFnew	g	190	
15	1	16	FFnew	h	202	
16	1	17	FFnew	a	423	
17	1	1	FFfamiliar	FFfamiliarTarget	151	
18	1	2	FFfamiliar	b	202	
19	1	3	FFfamiliar	d	118	
20	1	4	FFfamiliar	f	127	
21	1	5	FFfamiliar	a	207	
22	1	6	FFfamiliar	h	423	
23	1	7	FFfamiliar	c	408	
24	1	8	FFfamiliar	b	255	
25	1	9	FFfamiliar	FFfamiliarTarget	199	
26	1	10	FFfamiliar	a	283	
27	1	11	FFfamiliar	f	472	
28	1	12	FFfamiliar	c	215	
29	1	13	FFfamiliar	h	163	
30	1	14	FFfamiliar	d	321	
31	1	15	FFfamiliar	g	257	
32	1	16	FFfamiliar	e	333	
33	1	17	FFfamiliar	g	190	
34	1	18	FFfamiliar	e	164	
35	1	1	letter	q	164	
36	1	2	letter	e	118	
37	1	3	letter	u	207	
38	1	4	letter	b	199	
39	1	5	letter	p	127	
40	1	6	letter	m	151	
41	1	7	letter	q	215	
42	1	8	letter	d	333	
43	1	9	letter	letterTarget	257	
44	1	10	letter	m	202	
45	1	11	letter	n	283	
46	1	12	letter	d	190	
47	1	13	letter	p	423	
48	1	14	letter	e	472	
49	1	15	letter	b	163	
50	1	16	letter	letterTarget	408	
51	1	17	letter	u	255	
52	1	18	letter	n	321	
53	1	1	FFtrained	e	423	
54	1	2	FFtrained	e	151	
55	1	3	FFtrained	g	255	
56	1	4	FFtrained	h	408	
57	1	5	FFtrained	f	257	
58	1	6	FFtrained	b	190	
59	1	7	FFtrained	f	163	
60	1	8	FFtrained	c	202	
61	1	9	FFtrained	h	472	
62	1	10	FFtrained	FFtrainedTarget	321	
63	1	11	FFtrained	a	199	
64	1	12	FFtrained	c	333	
65	1	13	FFtrained	b	283	
66	1	14	FFtrained	d	118	
67	1	15	FFtrained	a	207	
68	1	16	FFtrained	d	164	
69	1	17	FFtrained	g	215	
70	2	2	FFtrained	f	283	
71	2	3	FFtrained	e	118	
72	2	4	FFtrained	g	202	
73	2	5	FFtrained	a	127	
74	2	6	FFtrained	g	408	
75	2	7	FFtrained	b	255	
76	2	9	FFtrained	c	164	
77	2	10	FFtrained	d	472	
78	2	11	FFtrained	b	207	
79	2	12	FFtrained	h	151	
80	2	13	FFtrained	f	163	
81	2	14	FFtrained	e	257	
82	2	15	FFtrained	a	423	
83	2	16	FFtrained	d	333	
84	2	17	FFtrained	c	190	
85	2	18	FFtrained	h	199	
86	2	1	FFnew	g	423	
87	2	3	FFnew	a	127	
88	2	4	FFnew	b	118	
89	2	6	FFnew	h	199	
90	2	7	FFnew	d	408	
91	2	8	FFnew	b	333	
92	2	9	FFnew	c	321	
93	2	10	FFnew	f	472	
94	2	11	FFnew	a	283	
95	2	12	FFnew	g	255	
96	2	13	FFnew	c	164	
97	2	14	FFnew	d	163	
98	2	15	FFnew	h	151	
99	2	16	FFnew	f	207	
100	2	17	FFnew	e	257	
101	2	18	FFnew	e	215	
102	2	1	letter	n	151	
103	2	2	letter	p	199	
104	2	3	letter	e	163	
105	2	4	letter	m	283	
106	2	5	letter	e	207	
107	2	6	letter	u	255	
108	2	7	letter	b	321	
109	2	8	letter	letterTarget	127	
110	2	9	letter	d	423	
111	2	10	letter	m	257	
112	2	11	letter	p	408	
113	2	12	letter	b	202	
114	2	13	letter	q	164	
115	2	15	letter	u	472	
116	2	16	letter	n	333	
117	2	17	letter	q	118	
118	2	18	letter	d	190	
119	2	1	FFfamiliar	FFfamiliarTarget	255	
120	2	2	FFfamiliar	c	202	
121	2	3	FFfamiliar	f	207	
122	2	4	FFfamiliar	h	127	
123	2	5	FFfamiliar	d	333	
124	2	6	FFfamiliar	e	199	
125	2	7	FFfamiliar	b	164	
126	2	8	FFfamiliar	c	283	
127	2	9	FFfamiliar	h	472	
128	2	10	FFfamiliar	b	423	
129	2	11	FFfamiliar	g	151	
130	2	12	FFfamiliar	FFfamiliarTarget	190	
131	2	13	FFfamiliar	e	215	
132	2	14	FFfamiliar	g	408	
133	2	15	FFfamiliar	d	163	
134	2	16	FFfamiliar	a	257	
135	2	17	FFfamiliar	f	118	
136	2	18	FFfamiliar	a	321	
137	3	1	FFfamiliar	f	164	
138	3	2	FFfamiliar	d	408	
139	3	3	FFfamiliar	g	283	
140	3	4	FFfamiliar	h	199	
141	3	5	FFfamiliar	a	472	
142	3	6	FFfamiliar	e	151	
143	3	7	FFfamiliar	h	423	
144	3	8	FFfamiliar	a	255	
145	3	9	FFfamiliar	f	215	
146	3	10	FFfamiliar	c	321	
147	3	11	FFfamiliar	b	127	
148	3	13	FFfamiliar	e	333	
149	3	14	FFfamiliar	d	257	
150	3	15	FFfamiliar	c	207	
151	3	17	FFfamiliar	b	202	
152	3	18	FFfamiliar	g	163	
153	3	1	letter	m	423	
154	3	2	letter	p	215	
155	3	4	letter	m	408	
156	3	5	letter	b	151	
157	3	6	letter	p	190	
158	3	7	letter	e	207	
159	3	8	letter	n	118	
160	3	9	letter	q	283	
161	3	10	letter	u	163	
162	3	11	letter	b	321	
163	3	13	letter	d	333	
164	3	14	letter	n	472	
165	3	15	letter	e	127	
166	3	16	letter	u	255	
167	3	17	letter	q	199	
168	3	18	letter	d	164	
169	3	1	FFtrained	f	321	
170	3	2	FFtrained	e	423	
171	3	3	FFtrained	FFtrainedTarget	408	
172	3	4	FFtrained	e	127	
173	3	5	FFtrained	h	163	
174	3	6	FFtrained	a	207	
175	3	7	FFtrained	d	255	
176	3	8	FFtrained	g	333	
177	3	9	FFtrained	d	257	
178	3	10	FFtrained	b	215	
179	3	11	FFtrained	b	283	
180	3	12	FFtrained	c	199	
181	3	13	FFtrained	a	190	
182	3	15	FFtrained	f	164	
183	3	16	FFtrained	g	151	
184	3	17	FFtrained	h	202	
185	3	18	FFtrained	c	118	
186	3	1	FFnew	e	199	
187	3	2	FFnew	f	118	
188	3	3	FFnew	c	207	
189	3	4	FFnew	FFnewTarget	257	
190	3	5	FFnew	f	164	
191	3	6	FFnew	d	151	
192	3	7	FFnew	b	408	
193	3	8	FFnew	c	190	
194	3	9	FFnew	FFnewTarget	255	
195	3	10	FFnew	d	472	
196	3	11	FFnew	a	283	
197	3	12	FFnew	g	423	
198	3	13	FFnew	b	321	
199	3	14	FFnew	h	202	
200	3	15	FFnew	e	163	
201	3	16	FFnew	h	215	
202	3	17	FFnew	a	333	
203	3	18	FFnew	g	127	
204	4	1	FFfamiliar	h	423	
205	4	2	FFfamiliar	d	127	
206	4	3	FFfamiliar	d	207	
207	4	4	FFfamiliar	FFfamiliarTarget	321	
208	4	5	FFfamiliar	c	163	
209	4	6	FFfamiliar	f	215	
210	4	7	FFfamiliar	b	199	
211	4	9	FFfamiliar	g	118	
212	4	10	FFfamiliar	h	202	
213	4	11	FFfamiliar	a	472	
214	4	12	FFfamiliar	b	408	
215	4	13	FFfamiliar	e	283	
216	4	14	FFfamiliar	f	333	
217	4	15	FFfamiliar	e	257	
218	4	16	FFfamiliar	c	255	
219	4	17	FFfamiliar	a	164	
220	4	18	FFfamiliar	g	190	
221	4	1	FFnew	FFnewTarget	163	
222	4	2	FFnew	f	215	
223	4	3	FFnew	g	255	
224	4	5	FFnew	b	151	
225	4	6	FFnew	c	207	
226	4	7	FFnew	h	190	
227	4	8	FFnew	f	164	
228	4	9	FFnew	d	118	
229	4	10	FFnew	a	257	
230	4	11	FFnew	e	202	
231	4	12	FFnew	c	333	
232	4	13	FFnew	a	321	
233	4	14	FFnew	h	423	
234	4	15	FFnew	d	127	
235	4	16	FFnew	g	408	
236	4	17	FFnew	b	199	
237	4	18	FFnew	e	472	
238	4	1	letter	e	118	
239	4	2	letter	letterTarget	163	
240	4	3	letter	d	127	
241	4	4	letter	b	199	
242	4	5	letter	b	408	
243	4	6	letter	m	190	
244	4	7	letter	q	164	
245	4	8	letter	e	283	
246	4	9	letter	p	321	
247	4	10	letter	n	207	
248	4	11	letter	m	472	
249	4	12	letter	letterTarget	255	
250	4	13	letter	u	151	
251	4	14	letter	u	257	
252	4	15	letter	d	202	
253	4	16	letter	n	215	
254	4	17	letter	p	423	
255	4	18	letter	q	333	
256	4	1	FFtrained	h	423	
257	4	2	FFtrained	g	207	
258	4	3	FFtrained	b	190	
259	4	4	FFtrained	a	257	
260	4	5	FFtrained	g	164	
261	4	6	FFtrained	c	163	
262	4	7	FFtrained	d	472	
263	4	8	FFtrained	f	408	
264	4	9	FFtrained	e	283	
265	4	10	FFtrained	e	333	
266	4	11	FFtrained	h	127	
267	4	12	FFtrained	d	255	
268	4	13	FFtrained	a	215	
269	4	14	FFtrained	c	118	
270	4	15	FFtrained	FFtrainedTarget	199	
271	4	17	FFtrained	f	151	
272	4	18	FFtrained	b	202	
273	5	1	FFtrained	a	190	
274	5	2	FFtrained	e	118	
275	5	3	FFtrained	h	207	
276	5	4	FFtrained	d	163	
277	5	5	FFtrained	h	151	
278	5	6	FFtrained	b	472	
279	5	7	FFtrained	g	408	
280	5	8	FFtrained	f	164	
281	5	9	FFtrained	a	127	
282	5	10	FFtrained	g	257	
283	5	11	FFtrained	b	283	
284	5	12	FFtrained	c	202	
285	5	13	FFtrained	f	255	
286	5	14	FFtrained	e	199	
287	5	15	FFtrained	d	215	
288	5	16	FFtrained	c	333	
289	5	1	letter	m	423	
290	5	2	letter	d	472	
291	5	3	letter	u	215	
292	5	4	letter	b	163	
293	5	5	letter	p	127	
294	5	6	letter	q	333	
295	5	7	letter	n	257	
296	5	9	letter	u	202	
297	5	10	letter	p	151	
298	5	11	letter	d	207	
299	5	12	letter	e	408	
300	5	13	letter	b	164	
301	5	14	letter	q	321	
302	5	15	letter	m	118	
303	5	17	letter	n	199	
304	5	18	letter	e	190	
305	5	1	FFfamiliar	d	164	
306	5	2	FFfamiliar	e	151	
307	5	3	FFfamiliar	b	333	
308	5	5	FFfamiliar	g	472	
309	5	6	FFfamiliar	d	283	
310	5	7	FFfamiliar	a	202	
311	5	8	FFfamiliar	f	408	
312	5	9	FFfamiliar	f	215	
313	5	10	FFfamiliar	h	118	
314	5	11	FFfamiliar	e	423	
315	5	13	FFfamiliar	g	321	
316	5	14	FFfamiliar	c	255	
317	5	15	FFfamiliar	b	163	
318	5	16	FFfamiliar	a	199	
319	5	17	FFfamiliar	h	127	
320	5	18	FFfamiliar	c	257	
321	5	1	FFnew	a	151	
322	5	2	FFnew	h	321	
323	5	3	FFnew	FFnewTarget	333	
324	5	4	FFnew	h	215	
325	5	5	FFnew	a	423	
326	5	6	FFnew	d	118	
327	5	8	FFnew	g	199	
328	5	9	FFnew	g	190	
329	5	10	FFnew	e	255	
330	5	11	FFnew	f	472	
331	5	12	FFnew	e	164	
332	5	13	FFnew	b	207	
333	5	14	FFnew	c	408	
334	5	15	FFnew	b	202	
335	5	16	FFnew	d	163	
336	5	17	FFnew	c	127	
337	5	18	FFnew	f	283	
