trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	letter	e	269	
2	1	2	letter	u	249	
3	1	3	letter	letterTarget	214	
4	1	4	letter	g	213	
5	1	5	letter	m	199	
6	1	7	letter	z	286	
7	1	8	letter	t	178	
8	1	9	letter	p	331	
9	1	10	letter	b	366	
10	1	1	FFnew	b	435	
11	1	2	FFnew	FFnewTarget	366	
12	1	3	FFnew	e	214	
13	1	4	FFnew	d	249	
14	1	5	FFnew	c	286	
15	1	6	FFnew	a	213	
16	1	7	FFnew	f	178	
17	1	8	FFnew	h	269	
18	1	9	FFnew	g	199	
19	1	10	FFnew	FFnewTarget	331	
20	1	1	FFfamiliar	b	213	
21	1	2	FFfamiliar	h	286	
22	1	3	FFfamiliar	FFfamiliarTarget	178	
23	1	4	FFfamiliar	e	435	
24	1	5	FFfamiliar	FFfamiliarTarget	214	
25	1	6	FFfamiliar	d	249	
26	1	7	FFfamiliar	f	269	
27	1	8	FFfamiliar	c	199	
28	1	9	FFfamiliar	a	366	
29	1	10	FFfamiliar	g	331	
30	1	1	FFtrained	a	286	
31	1	2	FFtrained	c	331	
32	1	3	FFtrained	b	249	
33	1	4	FFtrained	FFtrainedTarget	199	
34	1	5	FFtrained	d	178	
35	1	7	FFtrained	g	435	
36	1	8	FFtrained	f	366	
37	1	9	FFtrained	e	213	
38	1	10	FFtrained	h	214	
39	2	1	letter	letterTarget	286	
40	2	2	letter	b	269	
41	2	3	letter	e	249	
42	2	4	letter	p	366	
43	2	5	letter	t	435	
44	2	6	letter	letterTarget	331	
45	2	7	letter	u	213	
46	2	8	letter	g	178	
47	2	9	letter	z	199	
48	2	10	letter	m	214	
49	2	1	FFtrained	d	213	
50	2	2	FFtrained	a	286	
51	2	3	FFtrained	g	249	
52	2	4	FFtrained	FFtrainedTarget	435	
53	2	5	FFtrained	e	178	
54	2	6	FFtrained	f	214	
55	2	7	FFtrained	FFtrainedTarget	331	
56	2	8	FFtrained	b	269	
57	2	9	FFtrained	c	366	
58	2	10	FFtrained	h	199	
59	2	1	FFfamiliar	c	435	
60	2	2	FFfamiliar	FFfamiliarTarget	331	
61	2	4	FFfamiliar	g	286	
62	2	5	FFfamiliar	h	199	
63	2	6	FFfamiliar	e	249	
64	2	7	FFfamiliar	d	366	
65	2	8	FFfamiliar	a	178	
66	2	9	FFfamiliar	f	213	
67	2	10	FFfamiliar	b	214	
68	2	1	FFnew	a	213	
69	2	2	FFnew	b	269	
70	2	3	FFnew	f	435	
71	2	4	FFnew	FFnewTarget	199	
72	2	5	FFnew	h	178	
73	2	6	FFnew	d	366	
74	2	7	FFnew	e	249	
75	2	8	FFnew	c	214	
76	2	9	FFnew	g	286	
77	2	10	FFnew	FFnewTarget	331	
78	3	1	FFfamiliar	d	249	
79	3	2	FFfamiliar	FFfamiliarTarget	269	
80	3	3	FFfamiliar	c	366	
81	3	4	FFfamiliar	e	286	
82	3	5	FFfamiliar	f	199	
83	3	6	FFfamiliar	FFfamiliarTarget	435	
84	3	7	FFfamiliar	g	178	
85	3	8	FFfamiliar	h	214	
86	3	9	FFfamiliar	a	213	
87	3	10	FFfamiliar	b	331	
88	3	1	FFnew	a	178	
89	3	2	FFnew	e	435	
90	3	3	FFnew	g	366	
91	3	4	FFnew	h	199	
92	3	5	FFnew	b	213	
93	3	6	FFnew	f	269	
94	3	7	FFnew	c	214	
95	3	8	FFnew	FFnewTarget	286	
96	3	9	FFnew	FFnewTarget	249	
97	3	10	FFnew	d	331	
98	3	1	letter	b	213	
99	3	2	letter	g	331	
100	3	3	letter	e	214	
101	3	4	letter	u	366	
102	3	5	letter	z	249	
103	3	6	letter	t	286	
104	3	7	letter	letterTarget	435	
105	3	8	letter	m	178	
106	3	9	letter	p	269	
107	3	10	letter	letterTarget	199	
108	3	1	FFtrained	f	331	
109	3	2	FFtrained	b	213	
110	3	3	FFtrained	h	214	
111	3	4	FFtrained	g	269	
112	3	5	FFtrained	a	178	
113	3	6	FFtrained	e	199	
114	3	8	FFtrained	d	435	
115	3	10	FFtrained	c	286	
116	4	1	FFtrained	b	214	
117	4	2	FFtrained	a	213	
118	4	3	FFtrained	d	199	
119	4	4	FFtrained	e	366	
120	4	5	FFtrained	h	178	
121	4	8	FFtrained	g	331	
122	4	9	FFtrained	c	435	
123	4	10	FFtrained	f	269	
124	4	1	FFnew	d	249	
125	4	2	FFnew	h	178	
126	4	3	FFnew	f	213	
127	4	5	FFnew	b	331	
128	4	6	FFnew	a	435	
129	4	7	FFnew	e	199	
130	4	8	FFnew	g	269	
131	4	9	FFnew	c	286	
132	4	1	letter	e	269	
133	4	2	letter	u	331	
134	4	3	letter	b	214	
135	4	4	letter	m	435	
136	4	5	letter	letterTarget	178	
137	4	6	letter	t	249	
138	4	7	letter	letterTarget	199	
139	4	8	letter	z	286	
140	4	9	letter	g	366	
141	4	10	letter	p	213	
142	4	1	FFfamiliar	h	249	
143	4	2	FFfamiliar	b	435	
144	4	4	FFfamiliar	d	199	
145	4	5	FFfamiliar	e	331	
146	4	6	FFfamiliar	g	213	
147	4	7	FFfamiliar	a	178	
148	4	8	FFfamiliar	f	286	
149	4	10	FFfamiliar	c	366	
150	5	1	letter	b	269	
151	5	2	letter	e	366	
152	5	3	letter	u	286	
153	5	4	letter	p	249	
154	5	5	letter	t	199	
155	5	6	letter	m	214	
156	5	8	letter	g	213	
157	5	10	letter	z	331	
158	5	1	FFfamiliar	f	286	
159	5	2	FFfamiliar	b	199	
160	5	3	FFfamiliar	FFfamiliarTarget	331	
161	5	4	FFfamiliar	e	366	
162	5	5	FFfamiliar	g	269	
163	5	6	FFfamiliar	d	435	
164	5	7	FFfamiliar	c	249	
165	5	8	FFfamiliar	h	213	
166	5	9	FFfamiliar	a	178	
167	5	10	FFfamiliar	FFfamiliarTarget	214	
168	5	1	FFnew	g	249	
169	5	2	FFnew	d	178	
170	5	3	FFnew	FFnewTarget	213	
171	5	4	FFnew	e	366	
172	5	5	FFnew	c	199	
173	5	7	FFnew	f	331	
174	5	8	FFnew	h	269	
175	5	9	FFnew	b	286	
176	5	10	FFnew	a	435	
177	5	1	FFtrained	e	249	
178	5	2	FFtrained	g	199	
179	5	3	FFtrained	f	269	
180	5	4	FFtrained	c	331	
181	5	5	FFtrained	d	214	
182	5	6	FFtrained	b	286	
183	5	7	FFtrained	FFtrainedTarget	178	
184	5	8	FFtrained	FFtrainedTarget	366	
185	5	9	FFtrained	a	435	
186	5	10	FFtrained	h	213	
