trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	FFnew	f	249	
2	1	2	FFnew	FFnewTarget	435	
3	1	3	FFnew	g	178	
4	1	4	FFnew	b	286	
5	1	5	FFnew	e	214	
6	1	6	FFnew	d	366	
7	1	7	FFnew	c	199	
8	1	8	FFnew	FFnewTarget	269	
9	1	9	FFnew	h	213	
10	1	10	FFnew	a	331	
11	1	1	FFtrained	FFtrainedTarget	366	
12	1	2	FFtrained	b	214	
13	1	3	FFtrained	f	213	
14	1	4	FFtrained	d	178	
15	1	5	FFtrained	e	199	
16	1	6	FFtrained	h	269	
17	1	7	FFtrained	c	286	
18	1	8	FFtrained	g	435	
19	1	9	FFtrained	FFtrainedTarget	331	
20	1	10	FFtrained	a	249	
21	1	1	letter	b	213	
22	1	2	letter	letterTarget	249	
23	1	3	letter	letterTarget	286	
24	1	4	letter	u	269	
25	1	5	letter	e	178	
26	1	6	letter	z	199	
27	1	7	letter	m	366	
28	1	8	letter	t	331	
29	1	9	letter	g	214	
30	1	10	letter	p	435	
31	1	1	FFfamiliar	a	269	
32	1	2	FFfamiliar	FFfamiliarTarget	214	
33	1	3	FFfamiliar	h	366	
34	1	4	FFfamiliar	f	249	
35	1	5	FFfamiliar	g	435	
36	1	6	FFfamiliar	d	213	
37	1	7	FFfamiliar	c	178	
38	1	8	FFfamiliar	e	286	
39	1	10	FFfamiliar	b	331	
40	2	1	FFnew	f	331	
41	2	2	FFnew	e	286	
42	2	3	FFnew	h	435	
43	2	5	FFnew	d	199	
44	2	7	FFnew	c	213	
45	2	8	FFnew	b	366	
46	2	9	FFnew	a	178	
47	2	10	FFnew	g	214	
48	2	1	letter	m	286	
49	2	2	letter	p	199	
50	2	3	letter	b	331	
51	2	4	letter	letterTarget	178	
52	2	6	letter	e	213	
53	2	7	letter	z	435	
54	2	8	letter	u	249	
55	2	9	letter	g	366	
56	2	10	letter	t	269	
57	2	1	FFtrained	g	331	
58	2	2	FFtrained	f	178	
59	2	3	FFtrained	FFtrainedTarget	199	
60	2	4	FFtrained	h	286	
61	2	5	FFtrained	d	366	
62	2	6	FFtrained	a	435	
63	2	7	FFtrained	c	214	
64	2	8	FFtrained	b	269	
65	2	9	FFtrained	e	213	
66	2	1	FFfamiliar	d	435	
67	2	2	FFfamiliar	FFfamiliarTarget	366	
68	2	3	FFfamiliar	e	214	
69	2	4	FFfamiliar	FFfamiliarTarget	269	
70	2	5	FFfamiliar	a	331	
71	2	6	FFfamiliar	f	213	
72	2	7	FFfamiliar	g	199	
73	2	8	FFfamiliar	b	249	
74	2	9	FFfamiliar	h	286	
75	2	10	FFfamiliar	c	178	
76	3	1	FFfamiliar	e	331	
77	3	2	FFfamiliar	h	178	
78	3	3	FFfamiliar	d	213	
79	3	4	FFfamiliar	f	249	
80	3	5	FFfamiliar	g	286	
81	3	8	FFfamiliar	b	214	
82	3	9	FFfamiliar	c	199	
83	3	10	FFfamiliar	a	435	
84	3	1	letter	g	249	
85	3	2	letter	letterTarget	214	
86	3	4	letter	m	366	
87	3	5	letter	t	178	
88	3	6	letter	p	435	
89	3	7	letter	z	213	
90	3	8	letter	u	269	
91	3	9	letter	e	331	
92	3	10	letter	b	199	
93	3	1	FFtrained	e	435	
94	3	2	FFtrained	g	366	
95	3	3	FFtrained	c	249	
