trial	block	stimIndex	Condition	VstimCaption	ISIjitter
1	1	1	letter	u	286	
2	1	3	letter	t	214	
3	1	4	letter	b	269	
4	1	5	letter	g	435	
5	1	6	letter	z	199	
6	1	7	letter	e	366	
7	1	9	letter	p	331	
8	1	10	letter	m	178	
9	1	1	FFnew	c	286	
10	1	2	FFnew	a	178	
11	1	3	FFnew	g	199	
12	1	4	FFnew	e	435	
13	1	5	FFnew	FFnewTarget	366	
14	1	7	FFnew	f	213	
15	1	8	FFnew	b	331	
16	1	9	FFnew	h	214	
17	1	10	FFnew	d	249	
18	1	1	FFtrained	FFtrainedTarget	331	
19	1	2	FFtrained	e	213	
20	1	3	FFtrained	c	286	
21	1	4	FFtrained	g	435	
22	1	5	FFtrained	b	178	
23	1	6	FFtrained	h	199	
24	1	8	FFtrained	d	269	
25	1	9	FFtrained	f	366	
26	1	10	FFtrained	a	249	
27	1	1	FFfamiliar	g	199	
28	1	2	FFfamiliar	h	286	
29	1	3	FFfamiliar	c	214	
30	1	4	FFfamiliar	d	366	
31	1	5	FFfamiliar	b	249	
32	1	6	FFfamiliar	a	178	
33	1	7	FFfamiliar	FFfamiliarTarget	435	
34	1	8	FFfamiliar	f	213	
35	1	9	FFfamiliar	FFfamiliarTarget	331	
36	1	10	FFfamiliar	e	269	
37	2	1	letter	t	286	
38	2	2	letter	e	331	
39	2	3	letter	letterTarget	435	
40	2	4	letter	u	214	
41	2	5	letter	g	213	
42	2	7	letter	z	199	
43	2	8	letter	b	269	
44	2	9	letter	m	366	
45	2	10	letter	p	249	
46	2	1	FFnew	h	214	
47	2	2	FFnew	c	199	
48	2	3	FFnew	FFnewTarget	366	
49	2	4	FFnew	a	249	
50	2	5	FFnew	f	213	
51	2	7	FFnew	g	435	
52	2	8	FFnew	d	331	
53	2	9	FFnew	e	269	
54	2	10	FFnew	b	178	
55	2	1	FFtrained	FFtrainedTarget	366	
56	2	2	FFtrained	g	178	
57	2	3	FFtrained	e	331	
58	2	4	FFtrained	b	286	
59	2	5	FFtrained	h	249	
60	2	6	FFtrained	d	435	
61	2	7	FFtrained	a	213	
62	2	8	FFtrained	FFtrainedTarget	269	
63	2	9	FFtrained	f	199	
64	2	10	FFtrained	c	214	
65	2	1	FFfamiliar	c	178	
66	2	3	FFfamiliar	b	214	
67	2	4	FFfamiliar	f	213	
68	2	5	FFfamiliar	g	331	
69	2	6	FFfamiliar	e	249	
70	2	7	FFfamiliar	d	286	
71	2	9	FFfamiliar	a	435	
72	2	10	FFfamiliar	h	269	
73	3	1	letter	u	249	
74	3	2	letter	letterTarget	435	
75	3	3	letter	t	269	
76	3	4	letter	b	286	
77	3	5	letter	m	214	
78	3	7	letter	z	366	
79	3	8	letter	e	213	
80	3	9	letter	p	178	
81	3	10	letter	g	199	
82	3	1	FFnew	c	213	
83	3	2	FFnew	g	199	
84	3	3	FFnew	d	269	
85	3	4	FFnew	FFnewTarget	249	
86	3	5	FFnew	FFnewTarget	286	
87	3	6	FFnew	a	214	
88	3	7	FFnew	b	366	
89	3	8	FFnew	e	435	
90	3	9	FFnew	h	331	
91	3	10	FFnew	f	178	
92	3	1	FFtrained	g	366	
93	3	2	FFtrained	f	249	
94	3	3	FFtrained	d	214	
95	3	5	FFtrained	e	435	
96	3	6	FFtrained	h	331	
97	3	8	FFtrained	b	213	
98	3	9	FFtrained	c	269	
99	3	10	FFtrained	a	199	
100	3	1	FFfamiliar	d	286	
101	3	2	FFfamiliar	FFfamiliarTarget	249	
102	3	3	FFfamiliar	c	178	
103	3	4	FFfamiliar	b	269	
104	3	5	FFfamiliar	f	214	
105	3	6	FFfamiliar	a	213	
106	3	7	FFfamiliar	e	331	
107	3	8	FFfamiliar	g	435	
108	3	9	FFfamiliar	h	366	
109	4	1	letter	u	249	
110	4	2	letter	z	178	
111	4	3	letter	p	366	
112	4	4	letter	t	286	
113	4	5	letter	g	331	
114	4	6	letter	e	213	
115	4	7	letter	letterTarget	435	
116	4	8	letter	m	269	
117	4	9	letter	letterTarget	214	
118	4	10	letter	b	199	
119	4	1	FFnew	b	249	
120	4	2	FFnew	h	269	
121	4	3	FFnew	d	199	
122	4	4	FFnew	c	214	
123	4	5	FFnew	e	178	
124	4	6	FFnew	f	213	
125	4	7	FFnew	g	366	
126	4	9	FFnew	a	331	
127	4	1	FFtrained	g	366	
128	4	2	FFtrained	b	213	
129	4	3	FFtrained	FFtrainedTarget	269	
130	4	4	FFtrained	c	331	
131	4	5	FFtrained	d	286	
132	4	6	FFtrained	h	214	
133	4	8	FFtrained	f	178	
134	4	9	FFtrained	e	249	
135	4	10	FFtrained	a	199	
136	4	1	FFfamiliar	FFfamiliarTarget	366	
137	4	2	FFfamiliar	a	435	
138	4	3	FFfamiliar	b	249	
139	4	4	FFfamiliar	g	199	
140	4	6	FFfamiliar	c	178	
141	4	7	FFfamiliar	f	269	
142	4	8	FFfamiliar	d	286	
143	4	9	FFfamiliar	h	331	
144	4	10	FFfamiliar	e	214	
145	5	1	letter	e	435	
146	5	2	letter	g	269	
147	5	3	letter	m	366	
148	5	4	letter	letterTarget	331	
149	5	6	letter	b	213	
150	5	7	letter	p	249	
151	5	8	letter	t	178	
152	5	9	letter	z	199	
153	5	10	letter	u	286	
154	5	1	FFnew	b	331	
155	5	2	FFnew	c	214	
156	5	3	FFnew	e	286	
157	5	4	FFnew	g	269	
158	5	5	FFnew	FFnewTarget	213	
159	5	6	FFnew	h	249	
160	5	7	FFnew	d	199	
161	5	8	FFnew	f	435	
162	5	9	FFnew	a	178	
163	5	10	FFnew	FFnewTarget	366	
164	5	1	FFtrained	e	366	
165	5	2	FFtrained	g	178	
166	5	4	FFtrained	f	213	
167	5	5	FFtrained	d	269	
168	5	7	FFtrained	h	331	
169	5	8	FFtrained	a	249	
170	5	9	FFtrained	b	199	
171	5	10	FFtrained	c	286	
172	5	1	FFfamiliar	e	331	
173	5	2	FFfamiliar	FFfamiliarTarget	249	
174	5	3	FFfamiliar	h	213	
175	5	4	FFfamiliar	c	199	
176	5	5	FFfamiliar	f	435	
177	5	7	FFfamiliar	g	178	
178	5	8	FFfamiliar	a	286	
179	5	9	FFfamiliar	d	269	
180	5	10	FFfamiliar	b	214	
181	6	1	letter	letterTarget	366	
182	6	2	letter	e	435	
183	6	3	letter	z	199	
184	6	4	letter	m	213	
185	6	5	letter	t	286	
186	6	6	letter	letterTarget	214	
187	6	7	letter	u	178	
188	6	8	letter	g	249	
189	6	9	letter	p	331	
190	6	10	letter	b	269	
191	6	1	FFnew	d	269	
192	6	2	FFnew	h	286	
193	6	3	FFnew	b	435	
194	6	5	FFnew	g	199	
195	6	7	FFnew	c	213	
196	6	8	FFnew	a	331	
197	6	9	FFnew	e	249	
198	6	10	FFnew	f	178	
199	6	1	FFtrained	c	199	
200	6	2	FFtrained	a	269	
201	6	3	FFtrained	b	286	
202	6	4	FFtrained	f	435	
203	6	5	FFtrained	e	331	
204	6	6	FFtrained	FFtrainedTarget	214	
205	6	7	FFtrained	d	249	
206	6	8	FFtrained	h	178	
207	6	10	FFtrained	g	366	
208	6	1	FFfamiliar	FFfamiliarTarget	435	
209	6	3	FFfamiliar	a	331	
210	6	4	FFfamiliar	h	366	
211	6	5	FFfamiliar	g	249	
212	6	6	FFfamiliar	e	269	
213	6	7	FFfamiliar	d	214	
214	6	8	FFfamiliar	b	178	
215	6	9	FFfamiliar	f	199	
216	6	10	FFfamiliar	c	286	
217	7	1	letter	p	199	
218	7	3	letter	z	213	
219	7	4	letter	e	249	
220	7	5	letter	m	286	
221	7	6	letter	b	366	
222	7	7	letter	t	214	
223	7	8	letter	u	269	
224	7	9	letter	g	331	
225	7	1	FFnew	f	366	
226	7	2	FFnew	c	286	
227	7	3	FFnew	FFnewTarget	435	
228	7	4	FFnew	d	269	
229	7	5	FFnew	h	249	
230	7	6	FFnew	b	213	
231	7	7	FFnew	g	331	
232	7	9	FFnew	a	199	
233	7	10	FFnew	e	178	
234	7	1	FFtrained	d	178	
235	7	2	FFtrained	g	199	
236	7	3	FFtrained	FFtrainedTarget	435	
237	7	5	FFtrained	a	331	
238	7	6	FFtrained	e	366	
239	7	7	FFtrained	c	213	
240	7	8	FFtrained	b	214	
241	7	9	FFtrained	h	249	
242	7	10	FFtrained	f	286	
243	7	1	FFfamiliar	FFfamiliarTarget	269	
244	7	2	FFfamiliar	b	366	
245	7	3	FFfamiliar	c	178	
246	7	4	FFfamiliar	a	199	
247	7	5	FFfamiliar	FFfamiliarTarget	249	
248	7	6	FFfamiliar	d	435	
249	7	7	FFfamiliar	g	214	
250	7	8	FFfamiliar	h	331	
251	7	9	FFfamiliar	f	286	
252	7	10	FFfamiliar	e	213	
253	8	1	letter	e	178	
254	8	2	letter	z	435	
255	8	3	letter	m	331	
256	8	4	letter	p	269	
257	8	5	letter	b	249	
258	8	6	letter	g	199	
259	8	7	letter	u	213	
260	8	8	letter	t	366	
261	8	9	letter	letterTarget	286	
262	8	1	FFnew	e	331	
263	8	2	FFnew	a	435	
264	8	3	FFnew	h	213	
265	8	4	FFnew	g	178	
266	8	5	FFnew	d	199	
267	8	6	FFnew	b	269	
268	8	7	FFnew	FFnewTarget	366	
269	8	9	FFnew	c	214	
270	8	10	FFnew	f	249	
271	8	1	FFtrained	d	269	
272	8	2	FFtrained	c	214	
273	8	3	FFtrained	h	249	
274	8	4	FFtrained	f	331	
275	8	5	FFtrained	b	286	
276	8	6	FFtrained	e	366	
277	8	7	FFtrained	FFtrainedTarget	213	
278	8	8	FFtrained	a	199	
279	8	9	FFtrained	FFtrainedTarget	178	
280	8	10	FFtrained	g	435	
281	8	1	FFfamiliar	d	214	
282	8	2	FFfamiliar	a	286	
283	8	3	FFfamiliar	b	213	
284	8	4	FFfamiliar	f	366	
285	8	6	FFfamiliar	e	331	
286	8	7	FFfamiliar	c	249	
287	8	8	FFfamiliar	h	199	
288	8	10	FFfamiliar	g	178	
