block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	4_3	4	1	1131	1	2586	1380	0_I	u_short_2_1.wav	10140	11271	14063
2	2	3_8	3	1	1915	1	1852	2173	I_±	w_2_2_loudCheck.wav	17989	19904	22701
2	3	5_7	5	2	1617	0	2035	1654	:_°	r_2_1.wav	26755	28372	30933
2	4	5_6	6	2	1824	1	2871	1670	1_:_switched	ach_2_1.wav	35821	37645	40034
2	5	8_2	2	1	1618	0	2503	2341	E_±_switched	z_2_2.wav	44606	46224	49472
2	6	7_5	5	1	1169	0	1927	2403	:_°_switched	r_2_1.wav	53417	54586	58352
2	7	1_8	1	1	1848	1	2720	2576	A_±	k_2_1_loudCheck.wav	63094	64942	68197
2	8	1_5	5	2	1197	1	3740	1795	:_A_switched	r_2_1.wav	73954	75151	78278
2	9	6_4	6	1	1624	1	2885	899	1_0	ach_2_1.wav	83191	84815	86619
2	10	1_6	1	2	1969	0	2350	2189	A_1	k_2_1_loudCheck.wav	90987	92956	95703
2	11	5_3	3	2	1433	1	2881	2151	I_:_switched	w_2_2_loudCheck.wav	100603	102036	105287
2	12	4_5	5	2	1087	1	1760	2754	:_0_switched	r_2_1.wav	109071	110158	114356
2	13	1_7	1	1	1167	1	3200	1395	A_°	k_2_1_loudCheck.wav	119580	120747	123507
2	14	6_4	4	2	1043	1	2911	2131	0_1_switched	u_short_2_1.wav	128443	129486	133094
2	15	3_4	3	1	1289	1	3387	1718	I_0	w_2_2_loudCheck.wav	138508	139797	142755
2	16	1_2	2	2	1236	1	2221	2155	E_A_switched	z_2_2.wav	146997	148233	151674
2	17	5_3	3	2	1958	1	3315	1599	I_:_switched	w_2_2_loudCheck.wav	157009	158967	161126
2	18	5_2	5	1	1175	1	2632	1996	:_E	r_2_1.wav	165780	166955	170307
2	19	2_6	2	2	2260	0	2269	2244	E_1	z_2_2.wav	174603	176863	179372
2	20	3_8	3	1	1400	1	2335	2582	I_±	w_2_2_loudCheck.wav	183721	185121	188829
2	21	1_4	4	2	924	1	2334	1453	0_A_switched	u_short_2_1.wav	193191	194115	197171
2	22	3_7	3	1	1325	1	3581	2924	I_°	w_2_2_loudCheck.wav	202770	204095	208214
2	23	1_2	1	1	1202	1	2010	1656	A_E	k_2_1_loudCheck.wav	212245	213447	216434
2	24	3_5	5	2	1274	1	2364	1320	:_I_switched	r_2_1.wav	220813	222087	224664
2	25	3_2	3	1	1617	1	2448	1066	I_E	w_2_2_loudCheck.wav	229128	230745	232724
2	26	6_1	6	1	2429	1	3066	1796	1_A	ach_2_1.wav	237809	240238	242154
2	27	2_4	4	2	1135	1	1991	1146	0_E_switched	u_short_2_1.wav	246171	247306	249835
2	28	4_6	6	2	1318	1	2671	1639	1_0_switched	ach_2_1.wav	254529	255847	258693
2	29	6_2	2	2	2276	1	2219	2041	E_1_switched	z_2_2.wav	262928	265204	267493
2	30	1_8	1	1	1144	1	2986	2898	A_±	k_2_1_loudCheck.wav	272495	273639	277922
2	31	3_4	4	2	756	1	2786	2324	0_I_switched	u_short_2_1.wav	282739	283495	287590
2	32	1_4	1	1	1124	1	2466	1574	A_0	k_2_1_loudCheck.wav	292074	293198	296177
2	33	5_6	6	2	1916	1	2925	1855	1_:_switched	ach_2_1.wav	301133	303049	305510
2	34	5_7	5	1	1775	1	1889	1289	:_°	r_2_1.wav	309417	311192	313225
2	35	6_1	6	0	0	2	1738	1105	1_A	ach_2_1.wav	316993	0	320618
2	36	2_3	2	1	1237	1	2532	2619	E_I	z_2_2.wav	325180	326417	330329
2	37	1_5	1	1	1251	1	2458	2220	A_:	k_2_1_loudCheck.wav	334812	336063	339552
2	38	1_4	4	2	1093	1	2841	2422	0_A_switched	u_short_2_1.wav	344414	345507	349359
2	39	3_1	1	2	1105	1	2639	2035	A_I_switched	k_2_1_loudCheck.wav	354019	355124	358577
2	40	4_5	5	2	873	1	3114	2123	:_0_switched	r_2_1.wav	363713	364586	368371
2	41	8_6	6	2	2244	1	2195	1465	1_±_switched	ach_2_1.wav	372584	374828	376581
2	42	2_4	4	2	1023	1	2182	1628	0_E_switched	u_short_2_1.wav	380785	381808	384941
2	43	3_2	2	2	1203	1	2678	2602	E_I_switched	z_2_2.wav	389645	390848	394765
2	44	6_2	6	1	1944	1	1615	1592	1_E	ach_2_1.wav	398406	400350	402523
2	45	6_4	4	2	743	1	2836	1779	0_1_switched	u_short_2_1.wav	407388	408131	411694
2	46	7_2	2	2	1479	1	2670	2130	E_°_switched	z_2_2.wav	416391	417870	421047
2	47	3_5	3	1	1419	1	2954	1582	I_:	w_2_2_loudCheck.wav	426029	427448	430138
2	48	2_6	2	1	1279	1	2134	1509	E_1	z_2_2.wav	434294	435573	438329
