block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	6_3	3	1	2483	0	2639	1628	V_5_switched	t_2_1_loudCheck.wav	51492	53975	55647
1	2	8_6	6	2	2333	1	2503	1656	5_¯_switched	in_short_2_1_loudCheck.wav	60226	62559	64434
1	3	2_1	2	1	1617	1	2035	2324	R_N	e_short_2_2.wav	68534	70151	73393
1	4	7_1	1	1	1753	0	1889	1639	N_®_switched	a_short_2_2.wav	77313	79066	81484
1	5	4_5	5	2	2089	1	2364	2155	4_3_switched	b_2_1.wav	85930	88019	90609
1	6	2_1	2	0	0	2	2466	1718	R_N	e_short_2_2.wav	95108	0	99364
1	7	5_2	5	1	1727	1	2925	2173	4_R	b_2_1.wav	104325	106052	109045
1	8	6_4	4	2	2195	1	2670	1670	3_5_switched	l_2_2_loudCheck.wav	113797	115992	118001
1	9	1_5	1	2	1858	0	2182	1066	N_4	a_short_2_2.wav	122218	124076	125822
1	10	3_4	3	2	1969	0	2010	2898	V_3	t_2_1_loudCheck.wav	129870	131839	135295
1	11	5_2	5	2	2368	0	2334	2619	4_R	b_2_1.wav	139653	142021	144810
1	12	1_4	4	2	2312	1	1991	1795	3_N_switched	l_2_2_loudCheck.wav	148837	151149	153161
1	13	2_8	2	1	2025	1	3581	2754	R_¯	e_short_2_2.wav	158768	160793	164047
1	14	6_4	4	2	1445	1	2350	1320	3_5_switched	l_2_2_loudCheck.wav	168432	169877	172289
1	15	3_2	3	1	2429	1	2911	2576	V_R	t_2_1_loudCheck.wav	177234	179663	182337
1	16	6_4	4	2	974	1	3387	1380	3_5_switched	l_2_2_loudCheck.wav	187753	188727	191669
1	17	6_4	6	0	0	2	2671	2220	5_3	in_short_2_1_loudCheck.wav	196363	0	201117
1	18	3_5	3	1	2415	1	2335	2123	V_4	t_2_1_loudCheck.wav	205487	207902	210146
1	19	1_8	1	1	1506	1	2219	2924	N_¯	a_short_2_2.wav	214397	215903	219856
1	20	6_7	6	1	1769	1	2885	2582	5_®	in_short_2_1_loudCheck.wav	224772	226541	229891
1	21	3_1	1	1	2083	0	2586	2602	N_V_switched	a_short_2_2.wav	234500	236583	239654
1	22	3_4	3	1	1677	1	2532	1105	V_3	t_2_1_loudCheck.wav	244222	245899	247850
1	23	5_8	5	1	1729	1	2841	2189	4_¯	b_2_1.wav	252723	254452	257459
1	24	3_4	4	2	940	1	2134	1146	3_V_switched	l_2_2_loudCheck.wav	261626	262566	265325
1	25	6_4	6	1	1751	1	1615	899	5_3	in_short_2_1_loudCheck.wav	268964	270715	272402
1	26	5_1	1	1	1549	0	2786	1395	N_4_switched	a_short_2_2.wav	277226	278775	281156
1	27	2_6	6	1	2083	0	3066	2131	5_R_switched	in_short_2_1_loudCheck.wav	286248	288331	290918
1	28	3_1	1	2	1576	1	2195	1855	N_V_switched	a_short_2_2.wav	295137	296713	299518
1	29	5_4	4	2	917	1	1852	1779	3_4_switched	l_2_2_loudCheck.wav	303402	304319	307733
1	30	3_1	1	2	1316	1	2458	2403	N_V_switched	a_short_2_2.wav	312216	313532	317149
1	31	6_7	6	1	1503	1	3114	1453	5_®	in_short_2_1_loudCheck.wav	322299	323802	326293
1	32	2_5	5	2	2194	1	1927	1289	4_R_switched	b_2_1.wav	330254	332448	334070
1	33	7_3	3	2	1271	1	2221	1582	V_®_switched	t_2_1_loudCheck.wav	338322	339593	342454
1	34	6_4	4	2	1070	1	2836	1509	3_5_switched	l_2_2_loudCheck.wav	347312	348382	351357
1	35	3_6	6	1	1874	0	2448	2422	5_V_switched	in_short_2_1_loudCheck.wav	355833	357707	360778
1	36	2_5	2	2	1931	0	2954	1574	R_4	e_short_2_2.wav	365765	367696	369874
1	37	1_5	5	2	2338	1	2881	2151	4_N_switched	b_2_1.wav	374785	377123	379460
1	38	6_3	3	2	1497	1	2871	1654	V_5_switched	t_2_1_loudCheck.wav	384368	385865	388556
1	39	2_7	2	1	1751	1	3200	1796	R_®	e_short_2_2.wav	393789	395540	398124
1	40	1_3	3	2	2361	1	3740	1599	V_N_switched	t_2_1_loudCheck.wav	403889	406250	408037
1	41	2_5	2	0	0	2	2632	2041	R_4	e_short_2_2.wav	412707	0	417288
1	42	5_1	5	2	1279	0	2986	1996	4_N	b_2_1.wav	422304	423583	426836
1	43	2_8	2	1	1187	1	1738	1465	R_¯	e_short_2_2.wav	430599	431786	434596
1	44	1_7	1	2	1447	0	2678	1592	N_®	a_short_2_2.wav	439296	440743	443432
1	45	4_5	5	2	2043	1	1760	2035	4_3_switched	b_2_1.wav	447221	449264	451783
1	46	3_2	2	2	1237	1	3315	2341	R_V_switched	e_short_2_2.wav	457134	458371	461999
1	47	4_8	4	1	1010	1	2720	2244	3_¯	l_2_2_loudCheck.wav	466749	467759	471528
1	48	6_2	6	1	1927	1	2269	2130	5_R	in_short_2_1_loudCheck.wav	475824	477751	480490
