block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
1	1	6_3	3	2	1839	1	2786	1718	V_5_switched	t_2_1_loudCheck.wav	28192	30031	32438
1	2	6_8	6	2	1790	0	1889	2324	5_¯	in_short_2_1_loudCheck.wav	36348	38138	41191
1	3	2_1	2	0	0	2	2720	1796	R_N	e_short_2_2.wav	45929	0	50268
1	4	7_1	1	1	1235	0	2954	1639	N_®_switched	a_short_2_2.wav	55249	56484	59415
1	5	4_5	5	2	1282	1	2219	1105	4_3_switched	b_2_1.wav	63650	64932	67279
1	6	1_2	2	2	1816	1	2466	2403	R_N_switched	e_short_2_2.wav	71775	73591	76707
1	7	2_5	5	2	2397	1	3066	1289	4_R_switched	b_2_1.wav	81796	84193	85634
1	8	4_6	4	1	1422	1	2334	2123	3_5	l_2_2_loudCheck.wav	89999	91421	94648
1	9	5_1	1	2	2271	1	2350	2244	N_4_switched	a_short_2_2.wav	99016	101287	103788
1	10	3_4	3	1	1434	1	3114	2341	V_3	t_2_1_loudCheck.wav	108916	110350	113775
1	11	2_5	5	1	1510	0	2195	1795	4_R_switched	b_2_1.wav	117988	119498	122331
1	12	4_1	4	1	1021	1	3200	1654	3_N	l_2_2_loudCheck.wav	127559	128580	131745
1	13	8_2	2	2	1755	1	3740	1453	R_¯_switched	e_short_2_2.wav	137503	139258	141485
1	14	4_6	4	1	922	1	2269	1582	3_5	l_2_2_loudCheck.wav	145771	146693	149878
1	15	3_2	3	1	1318	1	2639	1320	V_R	t_2_1_loudCheck.wav	154539	155857	158383
1	16	6_4	4	2	1253	1	2671	2220	3_5_switched	l_2_2_loudCheck.wav	163070	164323	167815
1	17	6_4	6	1	1278	1	1615	1574	5_3	in_short_2_1_loudCheck.wav	171452	172730	175551
1	18	3_5	3	1	1088	1	2221	1146	V_4	t_2_1_loudCheck.wav	179802	180890	183471
1	19	1_8	1	2	1079	0	1760	2173	N_¯	a_short_2_2.wav	187253	188332	191957
1	20	7_6	6	2	1488	1	1852	2151	5_®_switched	in_short_2_1_loudCheck.wav	195827	197315	200501
1	21	3_1	1	2	1369	1	2448	1592	N_V_switched	a_short_2_2.wav	204972	206341	209095
1	22	4_3	3	2	1198	1	2678	1996	V_3_switched	t_2_1_loudCheck.wav	213802	215000	218316
1	23	8_5	5	2	1230	1	2134	1855	4_¯_switched	b_2_1.wav	222478	223708	226858
1	24	4_3	4	1	872	1	2911	2602	3_V	l_2_2_loudCheck.wav	231787	232659	236909
1	25	6_4	6	1	1680	1	2586	2898	5_3	in_short_2_1_loudCheck.wav	241520	243200	246944
1	26	1_5	1	1	1840	1	3387	1779	N_4	a_short_2_2.wav	252362	254202	256670
1	27	2_6	6	1	2338	0	2925	2619	5_R_switched	in_short_2_1_loudCheck.wav	261622	263960	266764
1	28	1_3	1	1	1611	1	2871	1628	N_V	a_short_2_2.wav	271660	273271	275814
1	29	5_4	4	2	1109	1	2885	2422	3_4_switched	l_2_2_loudCheck.wav	280725	281834	285676
1	30	1_3	1	1	1052	1	2182	1066	N_V	a_short_2_2.wav	289879	290931	293473
1	31	7_6	6	2	1181	1	2841	2131	5_®_switched	in_short_2_1_loudCheck.wav	298333	299514	302987
1	32	5_2	5	1	957	1	2532	899	4_R	b_2_1.wav	307545	308502	310974
1	33	3_7	3	1	1052	1	2503	2041	V_®	t_2_1_loudCheck.wav	315495	316547	320062
1	34	4_6	4	1	891	1	2010	2130	3_5	l_2_2_loudCheck.wav	324088	324979	328750
1	35	3_6	6	2	1171	1	3315	2155	5_V_switched	in_short_2_1_loudCheck.wav	334093	335264	338766
1	36	5_2	2	2	1682	1	2670	1599	R_4_switched	e_short_2_2.wav	343455	345137	347597
1	37	5_1	5	1	1159	1	2881	2035	4_N	b_2_1.wav	352501	353660	357085
1	38	6_3	3	2	1125	1	1991	2576	V_5_switched	t_2_1_loudCheck.wav	361098	362223	366192
1	39	7_2	2	2	1319	1	1927	1670	R_®_switched	e_short_2_2.wav	370137	371456	374355
1	40	1_3	3	2	1100	1	2632	1656	V_N_switched	t_2_1_loudCheck.wav	379005	380105	383192
1	41	2_5	2	1	1949	1	2364	2754	R_4	e_short_2_2.wav	387571	389520	392856
1	42	1_5	5	2	982	1	2986	1509	4_N_switched	b_2_1.wav	397866	398848	401903
1	43	8_2	2	2	868	1	3581	1395	R_¯_switched	e_short_2_2.wav	407513	408381	411428
1	44	1_7	1	1	923	1	2836	2582	N_®	a_short_2_2.wav	416289	417212	421399
1	45	5_4	5	1	1063	1	1738	2924	4_3	b_2_1.wav	425165	426228	430625
1	46	3_2	2	2	855	1	2335	2189	R_V_switched	e_short_2_2.wav	434982	435837	439713
1	47	4_8	4	1	919	1	2458	1380	3_¯	l_2_2_loudCheck.wav	444190	445109	448090
1	48	6_2	6	1	1885	1	2035	1465	5_R	in_short_2_1_loudCheck.wav	452149	454034	456154
