block	trial	vStims	aStim	resp	rt	fb	iti	feedJitter	vSymbols	aFile	stimOnset	respOnset	feedbackOnset
2	1	4_3	4	1	2002	1	2010	1795	0_I	u_short_2_1.wav	26532	28534	30856
2	2	8_3	3	2	1641	1	2586	2422	I_±_switched	w_2_2_loudCheck.wav	35535	37176	40492
2	3	7_5	5	1	2337	0	1760	2341	:_°_switched	r_2_1.wav	44335	46672	49220
2	4	5_6	6	0	0	2	2671	2403	1_:_switched	ach_2_1.wav	53971	0	58908
2	5	2_8	2	2	1900	0	2786	1320	E_±	z_2_2.wav	63779	65679	67635
2	6	5_7	5	2	2176	0	3387	1670	:_°	r_2_1.wav	73056	75232	77261
2	7	1_8	1	1	1893	1	2841	2924	A_±	k_2_1_loudCheck.wav	82136	84029	87607
2	8	1_5	5	2	1872	1	2182	1289	:_A_switched	r_2_1.wav	91821	93693	95648
2	9	4_6	6	2	1921	1	2720	2130	1_0_switched	ach_2_1.wav	100400	102321	105065
2	10	6_1	1	0	0	2	2954	1105	A_1_switched	k_2_1_loudCheck.wav	110043	0	113699
2	11	3_5	3	1	2400	1	2836	1628	I_:	w_2_2_loudCheck.wav	118567	120967	122731
2	12	4_5	5	0	0	2	2466	899	:_0_switched	r_2_1.wav	127223	0	130660
2	13	7_1	1	2	1463	1	1927	2619	A_°_switched	k_2_1_loudCheck.wav	134625	136088	139771
2	14	6_4	4	2	2161	1	2911	1656	0_1_switched	u_short_2_1.wav	144718	146879	148902
2	15	4_3	3	2	1237	1	3066	1599	I_0_switched	w_2_2_loudCheck.wav	153999	155236	158137
2	16	2_1	2	1	1883	1	2678	1718	E_A	z_2_2.wav	162854	164737	167098
2	17	3_5	3	2	2059	0	2885	1582	I_:	w_2_2_loudCheck.wav	172020	174079	176138
2	18	5_2	5	1	2351	1	2925	2151	:_E	r_2_1.wav	181102	183453	185783
2	19	6_2	2	2	2348	1	2532	1066	E_1_switched	z_2_2.wav	190352	192700	193957
2	20	3_8	3	1	1259	1	2195	1779	I_±	w_2_2_loudCheck.wav	198190	199449	202495
2	21	4_1	4	1	1113	1	3114	1574	0_A	u_short_2_1.wav	207634	208747	211749
2	22	7_3	3	2	1112	1	2269	1453	I_°_switched	w_2_2_loudCheck.wav	216048	217160	220037
2	23	2_1	1	2	1718	1	2221	2155	A_E_switched	k_2_1_loudCheck.wav	224292	226010	228980
2	24	5_3	5	1	1843	1	3315	2123	:_I	r_2_1.wav	234328	236171	238975
2	25	3_2	3	1	903	1	2219	1996	I_E	w_2_2_loudCheck.wav	243225	244128	247757
2	26	6_1	6	1	1647	1	3200	2131	1_A	ach_2_1.wav	252982	254629	257651
2	27	4_2	4	1	1015	1	2871	2220	0_E	u_short_2_1.wav	262546	263561	267300
2	28	6_4	6	1	1729	1	2334	1380	1_0	ach_2_1.wav	271669	273398	275602
2	29	2_6	2	1	2006	1	2134	1395	E_1	z_2_2.wav	279760	281766	283692
2	30	1_8	1	1	1181	1	2670	1509	A_±	k_2_1_loudCheck.wav	288388	289569	292448
2	31	4_3	4	1	788	1	1738	1654	0_I	u_short_2_1.wav	296214	297002	300401
2	32	4_1	1	2	1262	1	2335	1796	A_0_switched	k_2_1_loudCheck.wav	304769	306031	309101
2	33	5_6	6	2	1269	1	2448	2041	1_:_switched	ach_2_1.wav	313574	314843	318155
2	34	5_7	5	1	1058	1	2639	1639	:_°	r_2_1.wav	322825	323883	326996
2	35	1_6	6	2	1042	1	3581	1855	1_A_switched	ach_2_1.wav	332609	333651	336988
2	36	2_3	2	1	1707	1	2364	2189	E_I	z_2_2.wav	341385	343092	346098
2	37	1_5	1	1	1157	1	2350	2754	A_:	k_2_1_loudCheck.wav	350480	351637	355789
2	38	1_4	4	2	807	1	1991	2602	0_A_switched	u_short_2_1.wav	359814	360621	364963
2	39	3_1	1	2	950	1	2986	2035	A_I_switched	k_2_1_loudCheck.wav	369985	370935	374556
2	40	5_4	5	1	1777	1	2503	1592	:_0	r_2_1.wav	379095	380872	383222
2	41	8_6	6	2	1352	1	1889	2582	1_±_switched	ach_2_1.wav	387140	388492	392253
2	42	2_4	4	2	774	1	2881	2244	0_E_switched	u_short_2_1.wav	397157	397931	401925
2	43	3_2	2	2	1476	1	2632	2576	E_I_switched	z_2_2.wav	406584	408060	411683
2	44	2_6	6	1	1788	0	1852	2173	1_E_switched	ach_2_1.wav	415564	417352	420273
2	45	4_6	4	1	1027	1	2458	2898	0_1	u_short_2_1.wav	424762	425789	430207
2	46	7_2	2	2	1911	1	1615	1465	E_°_switched	z_2_2.wav	433846	435757	437849
2	47	5_3	3	2	2117	1	2035	1146	I_:_switched	w_2_2_loudCheck.wav	441907	444024	445588
2	48	2_6	2	1	2066	1	3740	2324	E_1	z_2_2.wav	451353	453419	456209
